eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
798.393,520.011,-0.17,0.326253,-0.018545,0.000811,1.958,-1.908,0.0,0.326,-0.019,0.001,5.182,-0.439,-0.053
798.711,519.938,-0.169,0.309775,-0.017476,0.000718,1.63,-1.89,0.0,0.31,-0.017,0.001,5.144,-0.439,-0.053
799.013,519.868,-0.168,0.293717,-0.016279,0.00062,1.319,-1.874,0.0,0.294,-0.016,0.001,5.107,-0.438,-0.052
799.3,519.803,-0.168,0.278079,-0.014959,0.00052,1.024,-1.858,0.0,0.278,-0.015,0.001,5.07,-0.437,-0.051
799.572,519.742,-0.167,0.26286,-0.013532,0.000418,0.745,-1.844,0.0,0.263,-0.014,0.0,5.034,-0.437,-0.051
799.829,519.685,-0.167,0.248053,-0.012028,0.000319,0.482,-1.83,0.0,0.248,-0.012,0.0,4.998,-0.436,-0.05
800.072,519.632,-0.166,0.233649,-0.010493,0.000226,0.233,-1.818,0.0,0.234,-0.01,0.0,4.962,-0.435,-0.05
800.3,519.583,-0.166,0.21964,-0.008981,0.000143,-0.001,-1.808,0.0,0.22,-0.009,0.0,4.928,-0.435,-0.05
800.515,519.538,-0.166,0.206026,-0.007544,7.4e-05,-0.221,-1.799,0.0,0.206,-0.008,0.0,4.894,-0.434,-0.05
800.717,519.496,-0.166,0.192815,-0.006225,2e-05,-0.427,-1.791,0.0,0.193,-0.006,0.0,4.862,-0.433,-0.05
800.906,519.458,-0.166,0.180022,-0.005054,-1.9e-05,-0.62,-1.785,0.0,0.18,-0.005,-0.0,4.831,-0.433,-0.05
801.083,519.423,-0.166,0.167665,-0.004042,-4.4e-05,-0.8,-1.78,0.0,0.168,-0.004,-0.0,4.803,-0.432,-0.05
801.248,519.392,-0.166,0.155758,-0.003192,-5.6e-05,-0.968,-1.776,0.0,0.156,-0.003,-0.0,4.776,-0.432,-0.05
801.401,519.363,-0.166,0.144309,-0.002497,-6e-05,-1.123,-1.773,0.0,0.144,-0.002,-0.0,4.752,-0.431,-0.05
801.543,519.337,-0.166,0.133322,-0.001947,-5.6e-05,-1.267,-1.771,0.0,0.133,-0.002,-0.0,4.73,-0.431,-0.05
801.674,519.313,-0.166,0.122794,-0.00153,-4.7e-05,-1.401,-1.769,0.0,0.123,-0.002,-0.0,4.711,-0.43,-0.05
801.795,519.291,-0.166,0.112721,-0.001234,-3.4e-05,-1.523,-1.767,0.0,0.113,-0.001,-0.0,4.694,-0.43,-0.05
801.906,519.271,-0.166,0.103095,-0.001048,-1.9e-05,-1.636,-1.766,0.0,0.103,-0.001,-0.0,4.678,-0.43,-0.05
802.007,519.253,-0.166,0.093908,-0.000961,-1e-06,-1.739,-1.765,0.0,0.094,-0.001,-0.0,4.665,-0.43,-0.05
802.1,519.236,-0.166,0.085148,-0.000962,1.8e-05,-1.833,-1.764,0.0,0.085,-0.001,0.0,4.654,-0.429,-0.05
802.184,519.221,-0.166,0.076804,-0.001043,3.8e-05,-1.918,-1.763,0.0,0.077,-0.001,0.0,4.644,-0.429,-0.05
802.259,519.208,-0.166,0.068865,-0.001195,5.8e-05,-1.995,-1.762,0.0,0.069,-0.001,0.0,4.636,-0.429,-0.05
802.327,519.195,-0.166,0.061318,-0.001411,7.9e-05,-2.064,-1.761,0.0,0.061,-0.001,0.0,4.629,-0.429,-0.05
802.387,519.183,-0.166,0.054151,-0.001682,0.0001,-2.126,-1.759,0.0,0.054,-0.002,0.0,4.623,-0.429,-0.05
802.44,519.173,-0.166,0.047353,-0.002002,0.000121,-2.18,-1.757,0.0,0.047,-0.002,0.0,4.618,-0.429,-0.05
802.487,519.163,-0.166,0.040911,-0.002364,0.000143,-2.227,-1.755,0.0,0.041,-0.002,0.0,4.614,-0.429,-0.05
802.527,519.154,-0.166,0.034813,-0.002764,0.000164,-2.269,-1.752,0.0,0.035,-0.003,0.0,4.611,-0.429,-0.049
802.56,519.146,-0.166,0.02905,-0.003195,0.000185,-2.304,-1.749,0.0,0.029,-0.003,0.0,4.609,-0.428,-0.049
802.589,519.138,-0.165,0.02361,-0.003654,0.000206,-2.333,-1.745,0.0,0.024,-0.004,0.0,4.607,-0.428,-0.049
802.611,519.13,-0.165,0.018482,-0.004134,0.000226,-2.357,-1.741,0.0,0.018,-0.004,0.0,4.606,-0.428,-0.049
802.629,519.123,-0.165,0.013658,-0.004633,0.000247,-2.376,-1.737,0.0,0.014,-0.005,0.0,4.605,-0.428,-0.049
802.642,519.116,-0.165,0.009126,-0.005147,0.000267,-2.39,-1.731,0.0,0.009,-0.005,0.0,4.605,-0.428,-0.048
802.65,519.11,-0.164,0.004878,-0.005672,0.000287,-2.4,-1.726,0.0,0.005,-0.006,0.0,4.605,-0.428,-0.048
802.654,519.103,-0.164,0.000905,-0.006204,0.000306,-2.405,-1.719,0.0,0.001,-0.006,0.0,4.605,-0.428,-0.048
802.653,519.097,-0.164,-0.002802,-0.006741,0.000324,-2.406,-1.712,0.0,-0.003,-0.007,0.0,4.605,-0.428,-0.047
802.65,519.091,-0.164,-0.006252,-0.00728,0.000342,-2.404,-1.705,0.0,-0.006,-0.007,0.0,4.605,-0.428,-0.047
802.642,519.085,-0.163,-0.009453,-0.007817,0.00036,-2.398,-1.697,0.0,-0.009,-0.008,0.0,4.605,-0.428,-0.047
802.632,519.078,-0.163,-0.012414,-0.008352,0.000377,-2.39,-1.688,0.0,-0.012,-0.008,0.0,4.605,-0.429,-0.046
802.618,519.072,-0.162,-0.015144,-0.008881,0.000393,-2.378,-1.679,0.0,-0.015,-0.009,0.0,4.605,-0.429,-0.046
802.602,519.066,-0.162,-0.017651,-0.009403,0.000408,-2.363,-1.669,0.0,-0.018,-0.009,0.0,4.604,-0.429,-0.046
802.583,519.059,-0.162,-0.019943,-0.009915,0.000423,-2.346,-1.659,0.0,-0.02,-0.01,0.0,4.604,-0.429,-0.045
802.561,519.053,-0.161,-0.022028,-0.010415,0.000436,-2.327,-1.648,0.0,-0.022,-0.01,0.0,4.603,-0.429,-0.045
802.538,519.046,-0.161,-0.023916,-0.010902,0.000449,-2.306,-1.636,0.0,-0.024,-0.011,0.0,4.602,-0.429,-0.044
802.513,519.039,-0.16,-0.025615,-0.011374,0.000461,-2.283,-1.624,0.0,-0.026,-0.011,0.0,4.601,-0.429,-0.044
802.486,519.032,-0.16,-0.027133,-0.01183,0.000473,-2.258,-1.612,0.0,-0.027,-0.012,0.0,4.6,-0.429,-0.043
802.457,519.025,-0.159,-0.028478,-0.012269,0.000483,-2.231,-1.599,0.0,-0.028,-0.012,0.0,4.598,-0.429,-0.043
802.427,519.017,-0.159,-0.02966,-0.012689,0.000492,-2.204,-1.586,0.0,-0.03,-0.013,0.0,4.596,-0.428,-0.043
802.396,519.009,-0.158,-0.030686,-0.01309,0.000501,-2.175,-1.572,0.0,-0.031,-0.013,0.001,4.593,-0.428,-0.042
802.363,519.001,-0.158,-0.031564,-0.01347,0.000509,-2.145,-1.558,0.0,-0.032,-0.013,0.001,4.59,-0.428,-0.042
802.33,518.993,-0.157,-0.032303,-0.013829,0.000516,-2.114,-1.543,0.0,-0.032,-0.014,0.001,4.586,-0.428,-0.041
802.296,518.984,-0.157,-0.032911,-0.014167,0.000522,-2.083,-1.528,0.0,-0.033,-0.014,0.001,4.583,-0.428,-0.041
802.261,518.975,-0.156,-0.033395,-0.014483,0.000527,-2.05,-1.513,0.0,-0.033,-0.014,0.001,4.578,-0.428,-0.04
802.226,518.966,-0.156,-0.033763,-0.014777,0.000531,-2.018,-1.498,0.0,-0.034,-0.015,0.001,4.574,-0.428,-0.039
802.19,518.957,-0.155,-0.034023,-0.015048,0.000535,-1.985,-1.482,0.0,-0.034,-0.015,0.001,4.569,-0.428,-0.039
802.154,518.947,-0.155,-0.034182,-0.015297,0.000538,-1.952,-1.466,0.0,-0.034,-0.015,0.001,4.563,-0.428,-0.038
802.118,518.937,-0.154,-0.034246,-0.015523,0.00054,-1.918,-1.449,0.0,-0.034,-0.016,0.001,4.557,-0.428,-0.038
802.082,518.927,-0.154,-0.034223,-0.015727,0.000542,-1.885,-1.433,0.0,-0.034,-0.016,0.001,4.551,-0.428,-0.037
802.046,518.917,-0.153,-0.034119,-0.015909,0.000543,-1.851,-1.416,0.0,-0.034,-0.016,0.001,4.544,-0.428,-0.037
802.01,518.907,-0.153,-0.033941,-0.016069,0.000544,-1.818,-1.399,0.0,-0.034,-0.016,0.001,4.537,-0.428,-0.036
801.974,518.896,-0.152,-0.033694,-0.016208,0.000544,-1.785,-1.382,0.0,-0.034,-0.016,0.001,4.53,-0.428,-0.036
801.938,518.885,-0.152,-0.033384,-0.016327,0.000543,-1.752,-1.365,0.0,-0.033,-0.016,0.001,4.522,-0.427,-0.035
801.902,518.874,-0.151,-0.033017,-0.016424,0.000542,-1.719,-1.348,0.0,-0.033,-0.016,0.001,4.514,-0.427,-0.035
801.867,518.863,-0.15,-0.032598,-0.016503,0.00054,-1.687,-1.33,0.0,-0.033,-0.017,0.001,4.506,-0.427,-0.034
801.832,518.851,-0.15,-0.032133,-0.016562,0.000538,-1.655,-1.313,0.0,-0.032,-0.017,0.001,4.497,-0.427,-0.034
801.798,518.84,-0.149,-0.031625,-0.016603,0.000536,-1.624,-1.296,0.0,-0.032,-0.017,0.001,4.488,-0.427,-0.033
801.764,518.828,-0.149,-0.031079,-0.016626,0.000533,-1.593,-1.278,0.0,-0.031,-0.017,0.001,4.479,-0.427,-0.032
801.731,518.816,-0.148,-0.030501,-0.016631,0.00053,-1.562,-1.261,0.0,-0.031,-0.017,0.001,4.47,-0.427,-0.032
801.699,518.804,-0.148,-0.029893,-0.016621,0.000526,-1.532,-1.243,0.0,-0.03,-0.017,0.001,4.46,-0.426,-0.031
801.667,518.792,-0.147,-0.029259,-0.016595,0.000523,-1.503,-1.226,0.0,-0.029,-0.017,0.001,4.45,-0.426,-0.031
801.635,518.78,-0.147,-0.028605,-0.016554,0.000519,-1.474,-1.208,0.0,-0.029,-0.017,0.001,4.44,-0.426,-0.03
801.605,518.768,-0.146,-0.027931,-0.0165,0.000514,-1.446,-1.191,0.0,-0.028,-0.016,0.001,4.43,-0.426,-0.03
801.575,518.755,-0.146,-0.027243,-0.016431,0.00051,-1.419,-1.174,0.0,-0.027,-0.016,0.001,4.42,-0.426,-0.029
801.545,518.743,-0.145,-0.026543,-0.016351,0.000505,-1.393,-1.157,0.0,-0.027,-0.016,0.001,4.41,-0.425,-0.029
801.517,518.731,-0.145,-0.025833,-0.016258,0.0005,-1.367,-1.14,0.0,-0.026,-0.016,0.0,4.399,-0.425,-0.028
801.489,518.718,-0.144,-0.025117,-0.016155,0.000495,-1.341,-1.123,0.0,-0.025,-0.016,0.0,4.388,-0.425,-0.028
801.461,518.706,-0.144,-0.024397,-0.016041,0.000489,-1.317,-1.106,0.0,-0.024,-0.016,0.0,4.378,-0.425,-0.027
801.435,518.694,-0.143,-0.023674,-0.015918,0.000484,-1.293,-1.089,0.0,-0.024,-0.016,0.0,4.367,-0.425,-0.027
801.409,518.681,-0.143,-0.022952,-0.015786,0.000478,-1.27,-1.073,0.0,-0.023,-0.016,0.0,4.356,-0.425,-0.026
801.384,518.669,-0.142,-0.022232,-0.015645,0.000473,-1.247,-1.056,0.0,-0.022,-0.016,0.0,4.345,-0.424,-0.026
801.36,518.657,-0.142,-0.021515,-0.015497,0.000467,-1.225,-1.04,0.0,-0.022,-0.015,0.0,4.334,-0.424,-0.025
801.337,518.644,-0.141,-0.020804,-0.015342,0.000461,-1.204,-1.024,0.0,-0.021,-0.015,0.0,4.323,-0.424,-0.025
801.314,518.632,-0.141,-0.0201,-0.015181,0.000455,-1.184,-1.008,0.0,-0.02,-0.015,0.0,4.313,-0.424,-0.024
801.292,518.62,-0.14,-0.019404,-0.015015,0.000449,-1.164,-0.992,0.0,-0.019,-0.015,0.0,4.302,-0.424,-0.024
801.271,518.608,-0.14,-0.018718,-0.014843,0.000443,-1.146,-0.977,0.0,-0.019,-0.015,0.0,4.291,-0.423,-0.024
801.25,518.596,-0.139,-0.018042,-0.014667,0.000437,-1.127,-0.962,0.0,-0.018,-0.015,0.0,4.28,-0.423,-0.023
801.23,518.584,-0.139,-0.017377,-0.014487,0.000431,-1.11,-0.946,0.0,-0.017,-0.014,0.0,4.269,-0.423,-0.023
801.211,518.572,-0.139,-0.016725,-0.014304,0.000425,-1.093,-0.931,0.0,-0.017,-0.014,0.0,4.259,-0.423,-0.022
801.192,518.56,-0.138,-0.016086,-0.014118,0.000418,-1.076,-0.917,0.0,-0.016,-0.014,0.0,4.248,-0.423,-0.022
801.174,518.548,-0.138,-0.015461,-0.013929,0.000412,-1.061,-0.902,0.0,-0.015,-0.014,0.0,4.237,-0.422,-0.021
801.157,518.536,-0.137,-0.014851,-0.013739,0.000406,-1.045,-0.888,0.0,-0.015,-0.014,0.0,4.227,-0.422,-0.021
801.141,518.525,-0.137,-0.014255,-0.013547,0.0004,-1.031,-0.874,0.0,-0.014,-0.014,0.0,4.217,-0.422,-0.021
801.125,518.513,-0.137,-0.013674,-0.013354,0.000394,-1.017,-0.86,0.0,-0.014,-0.013,0.0,4.206,-0.422,-0.02
801.109,518.502,-0.136,-0.013109,-0.01316,0.000388,-1.004,-0.846,0.0,-0.013,-0.013,0.0,4.196,-0.422,-0.02
801.094,518.491,-0.136,-0.012559,-0.012966,0.000382,-0.991,-0.832,0.0,-0.013,-0.013,0.0,4.186,-0.422,-0.019
801.08,518.479,-0.135,-0.012026,-0.012772,0.000376,-0.979,-0.819,0.0,-0.012,-0.013,0.0,4.176,-0.421,-0.019
801.067,518.468,-0.135,-0.011509,-0.012579,0.00037,-0.967,-0.806,0.0,-0.012,-0.013,0.0,4.166,-0.421,-0.019
801.054,518.458,-0.135,-0.011007,-0.012386,0.000364,-0.956,-0.793,0.0,-0.011,-0.012,0.0,4.156,-0.421,-0.018
801.041,518.447,-0.134,-0.010522,-0.012194,0.000358,-0.945,-0.78,0.0,-0.011,-0.012,0.0,4.147,-0.421,-0.018
801.029,518.436,-0.134,-0.010053,-0.012004,0.000352,-0.935,-0.768,0.0,-0.01,-0.012,0.0,4.137,-0.421,-0.018
801.017,518.426,-0.134,-0.0096,-0.011815,0.000346,-0.925,-0.755,0.0,-0.01,-0.012,0.0,4.128,-0.421,-0.017
801.006,518.415,-0.133,-0.009163,-0.011627,0.000341,-0.916,-0.743,0.0,-0.009,-0.012,0.0,4.118,-0.42,-0.017
800.996,518.405,-0.133,-0.008742,-0.011442,0.000335,-0.907,-0.731,0.0,-0.009,-0.011,0.0,4.109,-0.42,-0.017
800.985,518.395,-0.133,-0.008336,-0.011258,0.00033,-0.898,-0.72,0.0,-0.008,-0.011,0.0,4.1,-0.42,-0.016
800.976,518.385,-0.132,-0.007945,-0.011077,0.000324,-0.89,-0.708,0.0,-0.008,-0.011,0.0,4.091,-0.42,-0.016
800.966,518.375,-0.132,-0.007569,-0.010899,0.000319,-0.882,-0.697,0.0,-0.008,-0.011,0.0,4.082,-0.42,-0.016
800.957,518.365,-0.132,-0.007209,-0.010723,0.000313,-0.875,-0.686,0.0,-0.007,-0.011,0.0,4.073,-0.42,-0.015
800.949,518.355,-0.131,-0.006862,-0.010549,0.000308,-0.868,-0.675,0.0,-0.007,-0.011,0.0,4.065,-0.419,-0.015
800.941,518.346,-0.131,-0.00653,-0.010379,0.000303,-0.861,-0.664,0.0,-0.007,-0.01,0.0,4.056,-0.419,-0.015
800.933,518.336,-0.131,-0.006212,-0.010211,0.000298,-0.855,-0.653,0.0,-0.006,-0.01,0.0,4.048,-0.419,-0.014
800.925,518.327,-0.13,-0.005907,-0.010046,0.000293,-0.849,-0.643,0.0,-0.006,-0.01,0.0,4.04,-0.419,-0.014
800.918,518.318,-0.13,-0.005615,-0.009884,0.000288,-0.843,-0.632,0.0,-0.006,-0.01,0.0,4.031,-0.419,-0.014
800.911,518.309,-0.13,-0.005335,-0.009726,0.000284,-0.838,-0.622,0.0,-0.005,-0.01,0.0,4.023,-0.419,-0.013
800.905,518.3,-0.129,-0.005069,-0.00957,0.000279,-0.833,-0.612,0.0,-0.005,-0.01,0.0,4.016,-0.419,-0.013
800.899,518.291,-0.129,-0.004814,-0.009418,0.000275,-0.828,-0.602,0.0,-0.005,-0.009,0.0,4.008,-0.418,-0.013
800.893,518.282,-0.129,-0.00457,-0.009268,0.00027,-0.823,-0.593,0.0,-0.005,-0.009,0.0,4.0,-0.418,-0.013
800.887,518.273,-0.129,-0.004338,-0.009122,0.000266,-0.819,-0.583,0.0,-0.004,-0.009,0.0,3.992,-0.418,-0.012
800.881,518.265,-0.128,-0.004117,-0.008979,0.000262,-0.815,-0.574,0.0,-0.004,-0.009,0.0,3.985,-0.418,-0.012
800.876,518.257,-0.128,-0.003906,-0.00884,0.000257,-0.811,-0.565,0.0,-0.004,-0.009,0.0,3.978,-0.418,-0.012
800.871,518.248,-0.128,-0.003706,-0.008703,0.000253,-0.807,-0.556,0.0,-0.004,-0.009,0.0,3.97,-0.418,-0.012
800.866,518.24,-0.128,-0.003514,-0.00857,0.000249,-0.803,-0.547,0.0,-0.004,-0.009,0.0,3.963,-0.418,-0.011
800.862,518.232,-0.127,-0.003333,-0.00844,0.000245,-0.8,-0.538,0.0,-0.003,-0.008,0.0,3.956,-0.418,-0.011
800.857,518.224,-0.127,-0.00316,-0.008313,0.000242,-0.797,-0.529,0.0,-0.003,-0.008,0.0,3.949,-0.417,-0.011
800.853,518.216,-0.127,-0.002996,-0.008189,0.000238,-0.794,-0.521,0.0,-0.003,-0.008,0.0,3.942,-0.417,-0.011
800.849,518.209,-0.127,-0.002839,-0.008068,0.000234,-0.791,-0.513,0.0,-0.003,-0.008,0.0,3.935,-0.417,-0.01
800.845,518.201,-0.126,-0.002691,-0.00795,0.000231,-0.788,-0.504,0.0,-0.003,-0.008,0.0,3.929,-0.417,-0.01
800.842,518.193,-0.126,-0.00255,-0.007835,0.000227,-0.786,-0.496,0.0,-0.003,-0.008,0.0,3.922,-0.417,-0.01
800.838,518.186,-0.126,-0.002417,-0.007722,0.000224,-0.783,-0.488,0.0,-0.002,-0.008,0.0,3.916,-0.417,-0.01
800.835,518.179,-0.126,-0.00229,-0.007613,0.000221,-0.781,-0.48,0.0,-0.002,-0.008,0.0,3.909,-0.417,-0.009
800.832,518.171,-0.125,-0.00217,-0.007507,0.000217,-0.779,-0.472,0.0,-0.002,-0.008,0.0,3.903,-0.417,-0.009
800.828,518.164,-0.125,-0.002056,-0.007403,0.000214,-0.776,-0.465,0.0,-0.002,-0.007,0.0,3.896,-0.416,-0.009
800.826,518.157,-0.125,-0.001948,-0.007301,0.000211,-0.775,-0.457,0.0,-0.002,-0.007,0.0,3.89,-0.416,-0.009
800.823,518.15,-0.125,-0.001846,-0.007203,0.000208,-0.773,-0.45,0.0,-0.002,-0.007,0.0,3.884,-0.416,-0.008
800.82,518.143,-0.125,-0.001749,-0.007107,0.000205,-0.771,-0.442,0.0,-0.002,-0.007,0.0,3.878,-0.416,-0.008
800.817,518.136,-0.124,-0.001657,-0.007013,0.000202,-0.769,-0.435,0.0,-0.002,-0.007,0.0,3.872,-0.416,-0.008
800.815,518.129,-0.124,-0.00157,-0.006922,0.0002,-0.768,-0.428,0.0,-0.002,-0.007,0.0,3.866,-0.416,-0.008
800.812,518.123,-0.124,-0.001487,-0.006833,0.000197,-0.766,-0.421,0.0,-0.001,-0.007,0.0,3.86,-0.416,-0.008
800.81,518.116,-0.124,-0.001409,-0.006746,0.000194,-0.765,-0.414,0.0,-0.001,-0.007,0.0,3.854,-0.416,-0.007
800.808,518.11,-0.124,-0.001335,-0.006662,0.000192,-0.763,-0.407,0.0,-0.001,-0.007,0.0,3.849,-0.416,-0.007
800.806,518.103,-0.123,-0.001265,-0.006579,0.000189,-0.762,-0.4,0.0,-0.001,-0.007,0.0,3.843,-0.416,-0.007
800.804,518.097,-0.123,-0.001199,-0.006499,0.000186,-0.761,-0.393,0.0,-0.001,-0.006,0.0,3.837,-0.415,-0.007
800.802,518.091,-0.123,-0.001136,-0.006421,0.000184,-0.76,-0.387,0.0,-0.001,-0.006,0.0,3.832,-0.415,-0.007
800.8,518.084,-0.123,-0.001076,-0.006345,0.000182,-0.759,-0.38,0.0,-0.001,-0.006,0.0,3.826,-0.415,-0.007
800.798,518.078,-0.123,-0.001019,-0.00627,0.000179,-0.758,-0.374,0.0,-0.001,-0.006,0.0,3.821,-0.415,-0.006
800.796,518.072,-0.123,-0.000966,-0.006198,0.000177,-0.757,-0.367,0.0,-0.001,-0.006,0.0,3.815,-0.415,-0.006
800.794,518.066,-0.122,-0.000915,-0.006127,0.000175,-0.756,-0.361,0.0,-0.001,-0.006,0.0,3.81,-0.415,-0.006
800.793,518.06,-0.122,-0.000867,-0.006058,0.000173,-0.755,-0.355,0.0,-0.001,-0.006,0.0,3.805,-0.415,-0.006
800.791,518.054,-0.122,-0.000821,-0.00599,0.000171,-0.754,-0.349,0.0,-0.001,-0.006,0.0,3.799,-0.415,-0.006
800.79,518.048,-0.122,-0.000777,-0.005924,0.000168,-0.754,-0.342,0.0,-0.001,-0.006,0.0,3.794,-0.415,-0.005
800.788,518.043,-0.122,-0.000736,-0.00586,0.000166,-0.753,-0.336,0.0,-0.001,-0.006,0.0,3.789,-0.415,-0.005
800.787,518.037,-0.122,-0.000696,-0.005797,0.000164,-0.752,-0.33,0.0,-0.001,-0.006,0.0,3.784,-0.415,-0.005
800.785,518.031,-0.121,-0.000659,-0.005736,0.000163,-0.752,-0.324,0.0,-0.001,-0.006,0.0,3.779,-0.414,-0.005
800.784,518.026,-0.121,-0.000624,-0.005676,0.000161,-0.751,-0.319,0.0,-0.001,-0.006,0.0,3.774,-0.414,-0.005
800.783,518.02,-0.121,-0.00059,-0.005617,0.000159,-0.75,-0.313,0.0,-0.001,-0.006,0.0,3.769,-0.414,-0.005
800.781,518.014,-0.121,-0.000557,-0.00556,0.000157,-0.75,-0.307,0.0,-0.001,-0.006,0.0,3.764,-0.414,-0.005
800.78,518.009,-0.121,-0.000527,-0.005503,0.000155,-0.749,-0.301,0.0,-0.001,-0.006,0.0,3.759,-0.414,-0.004
800.779,518.004,-0.121,-0.000497,-0.005448,0.000153,-0.749,-0.296,0.0,-0.0,-0.005,0.0,3.754,-0.414,-0.004
800.778,517.998,-0.12,-0.000469,-0.005395,0.000152,-0.748,-0.29,0.0,-0.0,-0.005,0.0,3.749,-0.414,-0.004
800.777,517.993,-0.12,-0.000442,-0.005342,0.00015,-0.748,-0.285,0.0,-0.0,-0.005,0.0,3.744,-0.414,-0.004
800.776,517.988,-0.12,-0.000417,-0.00529,0.000148,-0.748,-0.279,0.0,-0.0,-0.005,0.0,3.74,-0.414,-0.004
800.775,517.983,-0.12,-0.000392,-0.00524,0.000147,-0.747,-0.274,0.0,-0.0,-0.005,0.0,3.735,-0.414,-0.004
800.774,517.977,-0.12,-0.000369,-0.00519,0.000145,-0.747,-0.269,0.0,-0.0,-0.005,0.0,3.73,-0.414,-0.003
800.773,517.972,-0.12,-0.000346,-0.005141,0.000143,-0.746,-0.263,0.0,-0.0,-0.005,0.0,3.726,-0.413,-0.003
800.772,517.967,-0.12,-0.000325,-0.005093,0.000142,-0.746,-0.258,0.0,-0.0,-0.005,0.0,3.721,-0.413,-0.003
800.771,517.962,-0.119,-0.000304,-0.005046,0.00014,-0.746,-0.253,0.0,-0.0,-0.005,0.0,3.716,-0.413,-0.003
800.77,517.957,-0.119,-0.000284,-0.005,0.000139,-0.746,-0.248,0.0,-0.0,-0.005,0.0,3.712,-0.413,-0.003
800.769,517.952,-0.119,-0.000265,-0.004955,0.000137,-0.745,-0.243,0.0,-0.0,-0.005,0.0,3.707,-0.413,-0.003
800.768,517.947,-0.119,-0.000246,-0.004911,0.000136,-0.745,-0.237,0.0,-0.0,-0.005,0.0,3.703,-0.413,-0.003
800.767,517.943,-0.119,-0.000229,-0.004867,0.000135,-0.745,-0.232,0.0,-0.0,-0.005,0.0,3.698,-0.413,-0.002
800.766,517.938,-0.119,-0.000212,-0.004824,0.000133,-0.745,-0.227,0.0,-0.0,-0.005,0.0,3.694,-0.413,-0.002
800.766,517.933,-0.119,-0.000195,-0.004782,0.000132,-0.745,-0.223,0.0,-0.0,-0.005,0.0,3.689,-0.413,-0.002
800.765,517.928,-0.118,-0.000179,-0.00474,0.00013,-0.744,-0.218,0.0,-0.0,-0.005,0.0,3.685,-0.413,-0.002
800.764,517.924,-0.118,-0.000164,-0.004699,0.000129,-0.744,-0.213,0.0,-0.0,-0.005,0.0,3.681,-0.413,-0.002
800.763,517.919,-0.118,-0.000149,-0.004659,0.000128,-0.744,-0.208,0.0,-0.0,-0.005,0.0,3.676,-0.413,-0.002
800.763,517.914,-0.118,-0.000135,-0.00462,0.000126,-0.744,-0.203,0.0,-0.0,-0.005,0.0,3.672,-0.413,-0.002
800.762,517.91,-0.118,-0.000121,-0.004581,0.000125,-0.744,-0.199,0.0,-0.0,-0.005,0.0,3.668,-0.412,-0.002
800.761,517.905,-0.118,-0.000107,-0.004542,0.000124,-0.744,-0.194,0.0,-0.0,-0.005,0.0,3.664,-0.412,-0.001
800.761,517.901,-0.118,-9.4e-05,-0.004504,0.000123,-0.744,-0.189,0.0,-0.0,-0.005,0.0,3.659,-0.412,-0.001
800.76,517.896,-0.118,-8.2e-05,-0.004467,0.000122,-0.744,-0.185,0.0,-0.0,-0.004,0.0,3.655,-0.412,-0.001
800.759,517.892,-0.117,-7e-05,-0.00443,0.00012,-0.744,-0.18,0.0,-0.0,-0.004,0.0,3.651,-0.412,-0.001
800.759,517.887,-0.117,-5.8e-05,-0.004394,0.000119,-0.743,-0.176,0.0,-0.0,-0.004,0.0,3.647,-0.412,-0.001
800.758,517.883,-0.117,-4.6e-05,-0.004358,0.000118,-0.743,-0.171,0.0,-0.0,-0.004,0.0,3.643,-0.412,-0.001
800.758,517.879,-0.117,-3.5e-05,-0.004323,0.000117,-0.743,-0.167,0.0,-0.0,-0.004,0.0,3.639,-0.412,-0.001
800.757,517.874,-0.117,-2.5e-05,-0.004288,0.000116,-0.743,-0.162,0.0,-0.0,-0.004,0.0,3.634,-0.412,-0.001
800.757,517.87,-0.117,-1.4e-05,-0.004253,0.000115,-0.743,-0.158,0.0,-0.0,-0.004,0.0,3.63,-0.412,-0.0
800.756,517.866,-0.117,-4e-06,-0.004219,0.000113,-0.743,-0.154,0.0,-0.0,-0.004,0.0,3.626,-0.412,-0.0
800.756,517.862,-0.117,6e-06,-0.004186,0.000112,-0.743,-0.149,0.0,0.0,-0.004,0.0,3.622,-0.412,-0.0
800.755,517.858,-0.116,1.5e-05,-0.004153,0.000111,-0.743,-0.145,0.0,0.0,-0.004,0.0,3.618,-0.412,-0.0
800.755,517.853,-0.116,2.5e-05,-0.00412,0.00011,-0.743,-0.141,0.0,0.0,-0.004,0.0,3.614,-0.412,-0.0
800.754,517.849,-0.116,3.4e-05,-0.004088,0.000109,-0.743,-0.137,0.0,0.0,-0.004,0.0,3.61,-0.411,0.0
800.754,517.845,-0.116,4.2e-05,-0.004056,0.000108,-0.744,-0.132,0.0,0.0,-0.004,0.0,3.606,-0.411,0.0
800.753,517.841,-0.116,5.1e-05,-0.004024,0.000107,-0.744,-0.128,0.0,0.0,-0.004,0.0,6.755,-2.927,0.0
800.753,517.837,-0.116,-0.002955,-0.000705,-0.001378,-0.744,-0.124,0.0,-0.003,-0.001,-0.001,6.721,-2.927,0.0
800.75,517.837,-0.117,-0.009746,0.001587,-0.002671,-0.741,-0.124,0.0,-0.01,0.002,-0.003,3.535,-0.41,-0.001
