eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
325.451,868.823,-0.129,0.423293,-0.166576,0.004116,515.904,-286.804,0.0,0.423,-0.167,0.004,33.107,0.901,-0.013
325.85,868.603,-0.125,0.427058,-0.169988,0.003954,514.296,-288.756,0.0,0.427,-0.17,0.004,33.132,0.898,-0.009
326.252,868.381,-0.121,0.430719,-0.173352,0.003791,512.724,-290.616,0.0,0.431,-0.173,0.004,33.158,0.896,-0.005
326.659,868.157,-0.118,0.434279,-0.176664,0.003628,511.189,-292.382,0.0,0.434,-0.177,0.004,33.187,0.894,-0.001
327.069,867.93,-0.114,0.437739,-0.179921,0.003466,509.691,-294.057,0.0,0.438,-0.18,0.003,33.219,0.892,0.002
327.484,867.702,-0.111,0.441099,-0.183119,0.003305,508.232,-295.64,0.0,0.441,-0.183,0.003,33.253,0.89,0.006
327.902,867.471,-0.107,0.444359,-0.186259,0.003145,506.812,-297.133,0.0,0.444,-0.186,0.003,33.289,0.888,0.009
328.324,867.238,-0.104,0.447522,-0.189343,0.002989,505.431,-298.538,0.0,0.448,-0.189,0.003,33.328,0.887,0.012
328.749,867.003,-0.101,0.45059,-0.192374,0.002835,504.089,-299.857,0.0,0.451,-0.192,0.003,33.37,0.885,0.015
329.178,866.766,-0.098,0.453567,-0.195356,0.002686,502.787,-301.091,0.0,0.454,-0.195,0.003,33.413,0.884,0.018
329.61,866.528,-0.096,0.45646,-0.198294,0.002541,501.524,-302.244,0.0,0.456,-0.198,0.003,33.46,0.883,0.021
330.046,866.287,-0.093,0.459274,-0.201192,0.0024,500.298,-303.318,0.0,0.459,-0.201,0.002,33.509,0.882,0.023
330.484,866.044,-0.091,0.462016,-0.204054,0.002264,499.11,-304.315,0.0,0.462,-0.204,0.002,33.56,0.881,0.026
330.926,865.799,-0.088,0.464692,-0.206883,0.002133,497.958,-305.24,0.0,0.465,-0.207,0.002,33.613,0.88,0.028
331.371,865.551,-0.086,0.467306,-0.209681,0.002006,496.842,-306.093,0.0,0.467,-0.21,0.002,33.669,0.879,0.03
331.818,865.302,-0.084,0.469863,-0.212447,0.001883,495.76,-306.879,0.0,0.47,-0.212,0.002,33.728,0.878,0.032
332.268,865.051,-0.082,0.472366,-0.215183,0.001764,494.712,-307.598,0.0,0.472,-0.215,0.002,33.789,0.878,0.034
332.721,864.798,-0.081,0.474817,-0.217888,0.001647,493.696,-308.254,0.0,0.475,-0.218,0.002,33.852,0.877,0.036
333.177,864.542,-0.079,0.477217,-0.220563,0.001534,492.713,-308.848,0.0,0.477,-0.221,0.002,33.918,0.877,0.037
333.636,864.285,-0.077,0.479567,-0.223205,0.001422,491.762,-309.382,0.0,0.48,-0.223,0.001,33.986,0.877,0.039
334.096,864.025,-0.076,0.481869,-0.225816,0.001313,490.843,-309.858,0.0,0.482,-0.226,0.001,34.056,0.876,0.04
334.56,863.764,-0.075,0.484121,-0.228393,0.001206,489.954,-310.275,0.0,0.484,-0.228,0.001,34.129,0.876,0.042
335.026,863.5,-0.073,0.486326,-0.230937,0.0011,489.095,-310.637,0.0,0.486,-0.231,0.001,34.205,0.876,0.043
335.494,863.234,-0.072,0.488481,-0.233447,0.000996,488.267,-310.944,0.0,0.488,-0.233,0.001,34.283,0.876,0.044
335.964,862.965,-0.071,0.490589,-0.235922,0.000893,487.469,-311.196,0.0,0.491,-0.236,0.001,34.363,0.876,0.045
336.436,862.695,-0.07,0.492649,-0.238362,0.000792,486.7,-311.395,0.0,0.493,-0.238,0.001,34.446,0.877,0.046
336.911,862.423,-0.07,0.494661,-0.240766,0.000691,485.961,-311.541,0.0,0.495,-0.241,0.001,34.531,0.877,0.047
337.388,862.148,-0.069,0.496627,-0.243133,0.000592,485.251,-311.636,0.0,0.497,-0.243,0.001,34.618,0.877,0.047
337.866,861.871,-0.068,0.498547,-0.245463,0.000494,484.57,-311.679,0.0,0.499,-0.245,0.0,34.708,0.878,0.048
338.347,861.592,-0.068,0.500421,-0.247755,0.000397,483.918,-311.673,0.0,0.5,-0.248,0.0,34.801,0.878,0.048
338.829,861.311,-0.068,0.502252,-0.250008,0.000301,483.294,-311.617,0.0,0.502,-0.25,0.0,34.896,0.879,0.049
339.314,861.028,-0.067,0.504039,-0.252222,0.000206,482.698,-311.512,0.0,0.504,-0.252,0.0,34.994,0.879,0.049
339.8,860.742,-0.067,0.505785,-0.254396,0.000113,482.13,-311.359,0.0,0.506,-0.254,0.0,35.094,0.88,0.049
340.287,860.455,-0.067,0.50749,-0.256529,2.1e-05,481.589,-311.159,0.0,0.507,-0.257,0.0,35.197,0.881,0.049
340.777,860.165,-0.067,0.509157,-0.258621,-7e-05,481.075,-310.913,0.0,0.509,-0.259,-0.0,35.302,0.882,0.049
341.267,859.873,-0.067,0.510787,-0.260669,-0.00016,480.588,-310.62,0.0,0.511,-0.261,-0.0,35.41,0.883,0.049
341.759,859.578,-0.067,0.512382,-0.262675,-0.000248,480.126,-310.283,0.0,0.512,-0.263,-0.0,35.52,0.884,0.049
342.253,859.282,-0.067,0.513944,-0.264635,-0.000334,479.691,-309.902,0.0,0.514,-0.265,-0.0,35.633,0.885,0.049
342.748,858.983,-0.068,0.515474,-0.266551,-0.000419,479.28,-309.477,0.0,0.515,-0.267,-0.0,35.748,0.886,0.049
343.244,858.683,-0.068,0.516976,-0.26842,-0.000502,478.894,-309.01,0.0,0.517,-0.268,-0.001,35.866,0.888,0.048
343.742,858.38,-0.069,0.51845,-0.270241,-0.000583,478.532,-308.502,0.0,0.518,-0.27,-0.001,35.987,0.889,0.048
344.241,858.074,-0.069,0.519899,-0.272014,-0.000663,478.193,-307.953,0.0,0.52,-0.272,-0.001,36.109,0.891,0.047
344.74,857.767,-0.07,0.521324,-0.273738,-0.00074,477.877,-307.364,0.0,0.521,-0.274,-0.001,36.235,0.892,0.047
345.241,857.458,-0.071,0.522729,-0.275411,-0.000816,477.583,-306.737,0.0,0.523,-0.275,-0.001,36.362,0.894,0.046
345.743,857.146,-0.071,0.524115,-0.277032,-0.000889,477.31,-306.072,0.0,0.524,-0.277,-0.001,36.493,0.895,0.045
346.246,856.832,-0.072,0.525484,-0.278601,-0.000961,477.057,-305.371,0.0,0.525,-0.279,-0.001,36.625,0.897,0.044
346.75,856.517,-0.073,0.526837,-0.280116,-0.00103,476.825,-304.635,0.0,0.527,-0.28,-0.001,36.76,0.899,0.043
347.255,856.199,-0.074,0.528178,-0.281577,-0.001097,476.611,-303.864,0.0,0.528,-0.282,-0.001,36.897,0.901,0.042
347.761,855.879,-0.075,0.529507,-0.282982,-0.001161,476.416,-303.06,0.0,0.53,-0.283,-0.001,37.036,0.902,0.041
348.268,855.557,-0.077,0.530827,-0.28433,-0.001224,476.237,-302.224,0.0,0.531,-0.284,-0.001,37.178,0.904,0.04
348.775,855.232,-0.078,0.532139,-0.28562,-0.001284,476.076,-301.357,0.0,0.532,-0.286,-0.001,37.322,0.906,0.039
349.284,854.906,-0.079,0.533444,-0.286852,-0.001341,475.93,-300.461,0.0,0.533,-0.287,-0.001,37.468,0.908,0.037
349.793,854.578,-0.08,0.534745,-0.288025,-0.001396,475.798,-299.536,0.0,0.535,-0.288,-0.001,37.616,0.911,0.036
350.303,854.248,-0.082,0.536043,-0.289137,-0.001449,475.681,-298.585,0.0,0.536,-0.289,-0.001,37.766,0.913,0.035
350.813,853.916,-0.083,0.537338,-0.290189,-0.001499,475.577,-297.607,0.0,0.537,-0.29,-0.001,37.918,0.915,0.033
351.325,853.582,-0.085,0.538633,-0.291179,-0.001546,475.484,-296.604,0.0,0.539,-0.291,-0.002,38.072,0.917,0.032
351.837,853.247,-0.086,0.539928,-0.292107,-0.001591,475.403,-295.579,0.0,0.54,-0.292,-0.002,38.227,0.919,0.03
352.349,852.909,-0.088,0.541225,-0.292972,-0.001633,475.332,-294.531,0.0,0.541,-0.293,-0.002,38.385,0.922,0.028
352.863,852.57,-0.09,0.542523,-0.293775,-0.001673,475.271,-293.462,0.0,0.543,-0.294,-0.002,38.544,0.924,0.027
353.377,852.229,-0.091,0.543825,-0.294513,-0.00171,475.218,-292.373,0.0,0.544,-0.295,-0.002,38.705,0.927,0.025
353.892,851.886,-0.093,0.545131,-0.295189,-0.001745,475.173,-291.267,0.0,0.545,-0.295,-0.002,38.868,0.929,0.023
354.407,851.541,-0.095,0.546442,-0.2958,-0.001777,475.135,-290.143,0.0,0.546,-0.296,-0.002,39.032,0.932,0.022
354.923,851.195,-0.096,0.547757,-0.296348,-0.001806,475.103,-289.003,0.0,0.548,-0.296,-0.002,39.198,0.934,0.02
355.44,850.848,-0.098,0.549079,-0.296832,-0.001833,475.076,-287.85,0.0,0.549,-0.297,-0.002,39.365,0.937,0.018
355.957,850.498,-0.1,0.550406,-0.297253,-0.001858,475.053,-286.682,0.0,0.55,-0.297,-0.002,39.533,0.939,0.016
356.475,850.148,-0.102,0.55174,-0.29761,-0.00188,475.034,-285.503,0.0,0.552,-0.298,-0.002,39.703,0.942,0.014
356.994,849.795,-0.104,0.55308,-0.297905,-0.001899,475.017,-284.313,0.0,0.553,-0.298,-0.002,39.873,0.944,0.013
357.513,849.442,-0.106,0.554428,-0.298138,-0.001916,475.003,-283.114,0.0,0.554,-0.298,-0.002,40.045,0.947,0.011
358.033,849.087,-0.108,0.555783,-0.298309,-0.001931,474.99,-281.906,0.0,0.556,-0.298,-0.002,40.218,0.95,0.009
358.553,848.731,-0.11,0.557145,-0.298419,-0.001943,474.977,-280.691,0.0,0.557,-0.298,-0.002,40.392,0.952,0.007
359.075,848.373,-0.111,0.558515,-0.29847,-0.001954,474.964,-279.47,0.0,0.559,-0.298,-0.002,40.567,0.955,0.005
359.596,848.014,-0.113,0.559892,-0.298461,-0.001962,474.95,-278.244,0.0,0.56,-0.298,-0.002,40.743,0.958,0.003
360.119,847.654,-0.115,0.561277,-0.298395,-0.001967,474.934,-277.015,0.0,0.561,-0.298,-0.002,40.919,0.96,0.001
360.642,847.293,-0.117,0.56267,-0.298273,-0.001971,474.916,-275.782,0.0,0.563,-0.298,-0.002,41.097,0.963,-0.001
361.166,846.931,-0.119,0.56407,-0.298095,-0.001973,474.896,-274.549,0.0,0.564,-0.298,-0.002,41.274,0.966,-0.003
361.691,846.568,-0.121,0.565478,-0.297863,-0.001972,474.872,-273.314,0.0,0.565,-0.298,-0.002,41.453,0.969,-0.005
362.216,846.204,-0.123,0.566894,-0.297579,-0.00197,474.844,-272.08,0.0,0.567,-0.298,-0.002,41.632,0.971,-0.007
362.742,845.839,-0.125,0.568318,-0.297244,-0.001966,474.811,-270.848,0.0,0.568,-0.297,-0.002,41.811,0.974,-0.009
363.269,845.473,-0.127,0.569749,-0.296859,-0.00196,474.774,-269.618,0.0,0.57,-0.297,-0.002,41.991,0.977,-0.011
363.796,845.106,-0.129,0.571188,-0.296427,-0.001952,474.731,-268.391,0.0,0.571,-0.296,-0.002,42.171,0.979,-0.013
364.324,844.739,-0.131,0.572634,-0.29595,-0.001943,474.682,-267.169,0.0,0.573,-0.296,-0.002,42.351,0.982,-0.015
364.853,844.371,-0.133,0.574088,-0.295428,-0.001932,474.627,-265.951,0.0,0.574,-0.295,-0.002,42.531,0.985,-0.017
365.383,844.002,-0.135,0.57555,-0.294865,-0.001919,474.565,-264.74,0.0,0.576,-0.295,-0.002,42.712,0.988,-0.019
365.914,843.632,-0.137,0.57702,-0.294261,-0.001905,474.496,-263.535,0.0,0.577,-0.294,-0.002,42.893,0.99,-0.021
366.445,843.262,-0.139,0.578498,-0.293619,-0.001889,474.42,-262.337,0.0,0.578,-0.294,-0.002,43.073,0.993,-0.022
366.978,842.891,-0.141,0.579983,-0.292941,-0.001873,474.336,-261.148,0.0,0.58,-0.293,-0.002,43.254,0.996,-0.024
367.511,842.519,-0.143,0.581476,-0.292228,-0.001855,474.243,-259.967,0.0,0.581,-0.292,-0.002,43.435,0.998,-0.026
368.045,842.148,-0.144,0.582977,-0.291483,-0.001835,474.143,-258.796,0.0,0.583,-0.291,-0.002,43.615,1.001,-0.028
368.58,841.775,-0.146,0.584487,-0.290708,-0.001815,474.033,-257.635,0.0,0.584,-0.291,-0.002,43.795,1.003,-0.03
369.116,841.402,-0.148,0.586004,-0.289905,-0.001793,473.915,-256.485,0.0,0.586,-0.29,-0.002,43.976,1.006,-0.032
369.652,841.029,-0.15,0.58753,-0.289075,-0.001771,473.788,-255.346,0.0,0.588,-0.289,-0.002,44.155,1.009,-0.034
370.19,840.656,-0.152,0.589065,-0.288222,-0.001747,473.651,-254.218,0.0,0.589,-0.288,-0.002,44.335,1.011,-0.035
370.729,840.282,-0.153,0.590608,-0.287346,-0.001723,473.505,-253.103,0.0,0.591,-0.287,-0.002,44.514,1.014,-0.037
371.269,839.908,-0.155,0.59216,-0.28645,-0.001698,473.349,-252.0,0.0,0.592,-0.286,-0.002,44.693,1.016,-0.039
371.809,839.533,-0.157,0.593722,-0.285535,-0.001672,473.184,-250.911,0.0,0.594,-0.286,-0.002,44.871,1.019,-0.04
372.351,839.158,-0.158,0.595293,-0.284604,-0.001646,473.009,-249.835,0.0,0.595,-0.285,-0.002,45.049,1.021,-0.042
372.894,838.783,-0.16,0.596874,-0.283659,-0.001618,472.823,-248.772,0.0,0.597,-0.284,-0.002,45.227,1.023,-0.044
373.438,838.408,-0.162,0.598465,-0.282701,-0.00159,472.628,-247.724,0.0,0.598,-0.283,-0.002,45.404,1.026,-0.045
373.983,838.033,-0.163,0.600066,-0.281732,-0.001562,472.422,-246.69,0.0,0.6,-0.282,-0.002,45.581,1.028,-0.047
374.53,837.657,-0.165,0.601679,-0.280755,-0.001533,472.207,-245.671,0.0,0.602,-0.281,-0.002,45.757,1.031,-0.049
375.077,837.281,-0.166,0.603303,-0.27977,-0.001504,471.981,-244.667,0.0,0.603,-0.28,-0.002,45.932,1.033,-0.05
375.626,836.906,-0.168,0.604939,-0.27878,-0.001474,471.744,-243.679,0.0,0.605,-0.279,-0.001,46.107,1.035,-0.052
376.175,836.53,-0.169,0.606586,-0.277785,-0.001444,471.498,-242.705,0.0,0.607,-0.278,-0.001,46.281,1.037,-0.053
376.727,836.153,-0.171,0.608247,-0.276788,-0.001413,471.241,-241.747,0.0,0.608,-0.277,-0.001,46.455,1.04,-0.055
377.279,835.777,-0.172,0.60992,-0.275791,-0.001382,470.973,-240.805,0.0,0.61,-0.276,-0.001,46.628,1.042,-0.056
377.833,835.401,-0.174,0.611607,-0.274794,-0.001351,470.695,-239.879,0.0,0.612,-0.275,-0.001,46.8,1.044,-0.057
378.387,835.025,-0.175,0.613307,-0.273799,-0.00132,470.407,-238.969,0.0,0.613,-0.274,-0.001,46.971,1.046,-0.059
378.944,834.648,-0.176,0.615022,-0.272807,-0.001288,470.108,-238.074,0.0,0.615,-0.273,-0.001,47.142,1.048,-0.06
379.501,834.272,-0.178,0.616751,-0.27182,-0.001257,469.799,-237.197,0.0,0.617,-0.272,-0.001,47.312,1.05,-0.061
380.06,833.895,-0.179,0.618495,-0.270838,-0.001225,469.48,-236.335,0.0,0.618,-0.271,-0.001,47.482,1.052,-0.063
380.621,833.519,-0.18,0.620254,-0.269864,-0.001193,469.15,-235.49,0.0,0.62,-0.27,-0.001,47.651,1.054,-0.064
381.183,833.142,-0.181,0.622029,-0.268896,-0.001161,468.81,-234.66,0.0,0.622,-0.269,-0.001,47.819,1.056,-0.065
381.746,832.766,-0.182,0.623819,-0.267938,-0.001129,468.46,-233.848,0.0,0.624,-0.268,-0.001,47.986,1.058,-0.066
382.311,832.389,-0.184,0.625626,-0.266989,-0.001097,468.1,-233.051,0.0,0.626,-0.267,-0.001,48.152,1.06,-0.067
382.877,832.012,-0.185,0.627448,-0.26605,-0.001066,467.729,-232.271,0.0,0.627,-0.266,-0.001,48.318,1.062,-0.068
383.445,831.635,-0.186,0.629286,-0.265122,-0.001034,467.349,-231.507,0.0,0.629,-0.265,-0.001,48.483,1.064,-0.069
384.015,831.259,-0.187,0.63114,-0.264206,-0.001003,466.958,-230.759,0.0,0.631,-0.264,-0.001,48.647,1.066,-0.07
384.586,830.882,-0.188,0.63301,-0.263302,-0.000971,466.558,-230.028,0.0,0.633,-0.263,-0.001,48.81,1.067,-0.071
385.158,830.505,-0.189,0.634896,-0.26241,-0.00094,466.148,-229.312,0.0,0.635,-0.262,-0.001,48.973,1.069,-0.072
385.733,830.128,-0.19,0.636797,-0.26153,-0.00091,465.728,-228.611,0.0,0.637,-0.262,-0.001,49.135,1.071,-0.073
386.309,829.751,-0.191,0.638713,-0.260664,-0.00088,465.299,-227.926,0.0,0.639,-0.261,-0.001,49.296,1.072,-0.074
386.887,829.374,-0.191,0.640645,-0.259811,-0.00085,464.861,-227.257,0.0,0.641,-0.26,-0.001,49.456,1.074,-0.075
387.466,828.997,-0.192,0.64259,-0.258972,-0.000821,464.413,-226.602,0.0,0.643,-0.259,-0.001,49.616,1.076,-0.076
388.047,828.62,-0.193,0.64455,-0.258145,-0.000793,463.956,-225.962,0.0,0.645,-0.258,-0.001,49.774,1.077,-0.077
388.63,828.243,-0.194,0.646523,-0.257333,-0.000765,463.49,-225.337,0.0,0.647,-0.257,-0.001,49.932,1.079,-0.078
389.215,827.866,-0.195,0.648508,-0.256533,-0.000738,463.016,-224.725,0.0,0.649,-0.257,-0.001,50.089,1.08,-0.078
389.802,827.489,-0.195,0.650506,-0.255748,-0.000712,462.533,-224.127,0.0,0.651,-0.256,-0.001,50.246,1.082,-0.079
390.39,827.112,-0.196,0.652515,-0.254975,-0.000687,462.042,-223.542,0.0,0.653,-0.255,-0.001,50.401,1.083,-0.08
390.981,826.734,-0.197,0.654534,-0.254216,-0.000663,461.543,-222.97,0.0,0.655,-0.254,-0.001,50.556,1.085,-0.08
391.573,826.357,-0.198,0.656564,-0.25347,-0.00064,461.036,-222.41,0.0,0.657,-0.253,-0.001,50.71,1.086,-0.081
392.167,825.98,-0.198,0.658602,-0.252737,-0.000618,460.521,-221.862,0.0,0.659,-0.253,-0.001,50.864,1.087,-0.082
