f_1,f_2,f_3,a_1,a_2
-24.222,-56.842,3.879,-0.251,0.429
-26.231,-57.776,3.791,-0.239,0.413
-28.059,-58.653,3.766,-0.228,0.396
-29.688,-59.471,3.799,-0.217,0.38
-31.103,-60.227,3.879,-0.207,0.364
-32.296,-60.918,3.997,-0.198,0.348
-33.258,-61.538,4.139,-0.19,0.332
-33.988,-62.083,4.295,-0.182,0.316
-34.487,-62.545,4.456,-0.176,0.301
-34.762,-62.921,4.613,-0.171,0.285
-34.82,-63.204,4.761,-0.168,0.269
-34.674,-63.393,4.897,-0.166,0.254
-34.34,-63.487,5.02,-0.165,0.238
-33.836,-63.487,5.131,-0.166,0.222
-33.182,-63.397,5.235,-0.168,0.205
-32.4,-63.223,5.335,-0.173,0.188
-31.513,-62.975,5.437,-0.179,0.17
-30.547,-62.66,5.547,-0.188,0.151
-29.526,-62.289,5.67,-0.199,0.131
-28.476,-61.872,5.814,-0.212,0.109
-27.422,-61.415,5.983,-0.229,0.086
-26.386,-60.925,6.182,-0.25,0.062
-25.389,-60.405,6.411,-0.274,0.038
-24.449,-59.858,6.666,-0.302,0.016
-23.575,-59.288,6.934,-0.333,-0.002
-22.769,-58.701,7.196,-0.367,-0.013
-22.015,-58.104,7.422,-0.401,-0.015
-21.284,-57.497,7.585,-0.435,-0.005
-20.526,-56.876,7.664,-0.466,0.014
-19.69,-56.232,7.649,-0.493,0.04
-18.731,-55.554,7.542,-0.516,0.068
-17.626,-54.838,7.356,-0.534,0.096
-16.372,-54.087,7.11,-0.549,0.121
-14.983,-53.309,6.824,-0.56,0.141
-13.483,-52.514,6.517,-0.568,0.156
-11.9,-51.71,6.205,-0.574,0.168
-10.26,-50.906,5.9,-0.579,0.176
-8.584,-50.108,5.61,-0.583,0.181
-6.89,-49.322,5.341,-0.587,0.183
-5.194,-48.55,5.096,-0.589,0.184
-3.507,-47.796,4.878,-0.592,0.183
-1.836,-47.06,4.686,-0.593,0.181
-0.189,-46.343,4.521,-0.595,0.178
1.43,-45.647,4.38,-0.596,0.174
3.017,-44.97,4.263,-0.597,0.169
4.568,-44.313,4.168,-0.598,0.163
6.083,-43.675,4.093,-0.598,0.157
7.56,-43.055,4.037,-0.598,0.15
8.996,-42.453,3.997,-0.597,0.143
10.393,-41.867,3.972,-0.596,0.135
11.748,-41.297,3.96,-0.594,0.128
13.061,-40.742,3.96,-0.592,0.12
14.332,-40.202,3.971,-0.59,0.111
15.56,-39.675,3.991,-0.587,0.103
16.744,-39.162,4.02,-0.584,0.095
17.884,-38.661,4.056,-0.581,0.087
18.98,-38.172,4.098,-0.577,0.078
20.032,-37.696,4.146,-0.573,0.07
21.038,-37.232,4.2,-0.569,0.062
22.0,-36.78,4.258,-0.564,0.054
22.916,-36.339,4.319,-0.559,0.047
23.787,-35.91,4.385,-0.554,0.039
24.614,-35.492,4.453,-0.549,0.032
25.396,-35.086,4.524,-0.544,0.024
26.134,-34.691,4.598,-0.538,0.017
26.828,-34.308,4.673,-0.533,0.01
27.48,-33.936,4.749,-0.527,0.003
28.09,-33.575,4.827,-0.522,-0.003
28.659,-33.226,4.906,-0.517,-0.01
29.188,-32.888,4.985,-0.512,-0.016
29.678,-32.561,5.064,-0.507,-0.022
30.131,-32.244,5.142,-0.502,-0.028
30.548,-31.939,5.221,-0.497,-0.034
30.93,-31.644,5.298,-0.492,-0.04
31.278,-31.359,5.374,-0.488,-0.046
31.595,-31.085,5.448,-0.483,-0.052
31.881,-30.821,5.521,-0.479,-0.057
32.137,-30.567,5.592,-0.475,-0.062
32.366,-30.323,5.661,-0.472,-0.068
32.568,-30.088,5.727,-0.468,-0.073
32.746,-29.863,5.791,-0.465,-0.078
32.899,-29.646,5.852,-0.462,-0.083
33.03,-29.439,5.91,-0.459,-0.088
33.14,-29.24,5.965,-0.456,-0.093
33.23,-29.05,6.017,-0.454,-0.098
33.301,-28.868,6.066,-0.451,-0.103
33.354,-28.693,6.112,-0.449,-0.108
33.391,-28.527,6.155,-0.447,-0.112
33.412,-28.368,6.194,-0.445,-0.117
33.418,-28.216,6.231,-0.443,-0.122
33.412,-28.072,6.264,-0.442,-0.126
33.392,-27.934,6.294,-0.441,-0.13
33.361,-27.803,6.321,-0.439,-0.134
33.319,-27.678,6.344,-0.438,-0.139
33.268,-27.559,6.365,-0.437,-0.143
33.207,-27.445,6.383,-0.437,-0.147
33.137,-27.338,6.398,-0.436,-0.151
33.061,-27.235,6.41,-0.435,-0.154
32.977,-27.138,6.42,-0.435,-0.158
32.887,-27.046,6.427,-0.435,-0.162
32.791,-26.958,6.431,-0.434,-0.165
32.69,-26.874,6.433,-0.434,-0.168
32.585,-26.795,6.433,-0.434,-0.172
32.476,-26.72,6.43,-0.434,-0.175
32.363,-26.648,6.425,-0.434,-0.178
32.248,-26.58,6.419,-0.434,-0.181
32.13,-26.515,6.41,-0.435,-0.184
32.01,-26.453,6.4,-0.435,-0.187
31.889,-26.395,6.387,-0.435,-0.189
31.766,-26.339,6.374,-0.436,-0.192
31.642,-26.285,6.359,-0.436,-0.194
31.518,-26.235,6.342,-0.437,-0.196
31.394,-26.186,6.324,-0.437,-0.199
31.269,-26.14,6.305,-0.438,-0.201
31.145,-26.095,6.285,-0.438,-0.203
31.022,-26.053,6.264,-0.439,-0.205
30.899,-26.012,6.242,-0.439,-0.207
30.778,-25.973,6.219,-0.44,-0.208
30.657,-25.935,6.196,-0.441,-0.21
30.538,-25.899,6.172,-0.441,-0.212
30.42,-25.864,6.147,-0.442,-0.213
30.305,-25.83,6.122,-0.443,-0.214
30.19,-25.798,6.096,-0.443,-0.216
30.078,-25.766,6.07,-0.444,-0.217
29.968,-25.736,6.044,-0.445,-0.218
29.86,-25.706,6.018,-0.445,-0.219
29.753,-25.677,5.991,-0.446,-0.221
29.65,-25.649,5.964,-0.447,-0.222
29.548,-25.622,5.938,-0.447,-0.222
29.449,-25.595,5.911,-0.448,-0.223
29.351,-25.569,5.885,-0.448,-0.224
29.257,-25.543,5.858,-0.449,-0.225
29.164,-25.518,5.832,-0.45,-0.226
29.074,-25.494,5.806,-0.45,-0.227
28.987,-25.469,5.78,-0.451,-0.227
28.901,-25.446,5.754,-0.451,-0.228
28.818,-25.422,5.729,-0.452,-0.229
28.737,-25.399,5.704,-0.453,-0.229
28.659,-25.377,5.679,-0.453,-0.23
28.582,-25.354,5.655,-0.454,-0.23
28.508,-25.332,5.631,-0.454,-0.231
28.437,-25.31,5.607,-0.454,-0.231
28.367,-25.289,5.584,-0.455,-0.232
28.299,-25.267,5.561,-0.455,-0.232
28.234,-25.246,5.539,-0.456,-0.233
28.17,-25.225,5.517,-0.456,-0.233
28.108,-25.204,5.495,-0.457,-0.233
28.048,-25.184,5.474,-0.457,-0.234
27.99,-25.163,5.454,-0.457,-0.234
27.934,-25.143,5.434,-0.458,-0.235
27.88,-25.123,5.414,-0.458,-0.235
27.827,-25.103,5.395,-0.458,-0.235
27.776,-25.084,5.376,-0.459,-0.236
27.727,-25.064,5.358,-0.459,-0.236
27.679,-25.045,5.34,-0.459,-0.236
27.632,-25.026,5.323,-0.46,-0.237
27.587,-25.007,5.306,-0.46,-0.237
27.544,-24.988,5.289,-0.46,-0.237
27.501,-24.969,5.273,-0.46,-0.238
27.46,-24.951,5.258,-0.46,-0.238
27.42,-24.932,5.242,-0.461,-0.238
27.382,-24.914,5.227,-0.461,-0.239
27.344,-24.896,5.213,-0.461,-0.239
27.308,-24.878,5.199,-0.461,-0.239
27.272,-24.86,5.185,-0.461,-0.239
27.238,-24.842,5.172,-0.462,-0.24
27.205,-24.825,5.159,-0.462,-0.24
27.172,-24.808,5.146,-0.462,-0.24
27.141,-24.791,5.134,-0.462,-0.241
27.11,-24.774,5.122,-0.462,-0.241
27.08,-24.757,5.11,-0.462,-0.241
27.051,-24.74,5.099,-0.462,-0.242
27.022,-24.724,5.088,-0.462,-0.242
26.995,-24.707,5.077,-0.463,-0.242
26.968,-24.691,5.067,-0.463,-0.243
26.941,-24.675,5.056,-0.463,-0.243
26.915,-24.659,5.047,-0.463,-0.243
26.89,-24.643,5.037,-0.463,-0.244
26.866,-24.628,5.027,-0.463,-0.244
26.842,-24.612,5.018,-0.463,-0.244
26.818,-24.597,5.009,-0.463,-0.244
26.795,-24.582,5.001,-0.463,-0.245
26.772,-24.567,4.992,-0.463,-0.245
26.75,-24.553,4.984,-0.463,-0.245
26.729,-24.538,4.976,-0.463,-0.246
26.707,-24.524,4.968,-0.463,-0.246
26.686,-24.51,4.96,-0.463,-0.246
26.666,-24.495,4.953,-0.463,-0.247
26.646,-24.482,4.945,-0.463,-0.247
26.626,-24.468,4.938,-0.463,-0.247
26.606,-24.454,4.931,-0.463,-0.248
26.587,-24.441,4.924,-0.463,-0.248
26.569,-24.427,4.918,-0.463,-0.248
26.55,-24.414,4.911,-0.463,-0.248
26.532,-24.401,4.905,-0.463,-0.249
26.514,-24.389,4.898,-0.463,-0.249
26.496,-24.376,4.892,-0.463,-0.249
26.479,-24.363,4.886,-0.463,-0.25
26.461,-24.351,4.88,-0.463,-0.25
26.445,-24.339,4.875,-0.463,-0.25
26.428,-24.327,4.869,-0.463,-0.25
26.411,-24.315,4.863,-0.463,-0.251
26.395,-24.303,4.858,-0.463,-0.251
26.379,-24.291,4.853,-0.463,-0.251
26.363,-24.28,4.848,-0.463,-0.251
26.347,-24.269,4.842,-0.463,-0.252
26.332,-24.257,4.837,-0.463,-0.252
26.317,-24.246,4.832,-0.463,-0.252
26.302,-24.235,4.828,-0.463,-0.253
26.287,-24.224,4.823,-0.463,-0.253
26.272,-24.214,4.818,-0.463,-0.253
-70.0,-70.0,-50.0,-1.571,-1.276
-70.0,-70.0,-50.0,-1.571,-0.85
-20.352,-59.713,13.814,-1.49,1.571
-8.873,-42.809,14.51,-1.265,1.571
2.502,-31.16,13.387,-1.05,1.15
12.242,-25.557,11.882,-0.901,0.778
19.275,-22.956,10.405,-0.793,0.472
23.879,-21.936,9.122,-0.709,0.243
26.773,-21.734,8.082,-0.642,0.083
28.573,-21.894,7.282,-0.591,-0.025
29.686,-22.174,6.691,-0.551,-0.097
30.365,-22.456,6.27,-0.523,-0.146
30.761,-22.699,5.982,-0.501,-0.179
30.973,-22.892,5.79,-0.486,-0.202
31.06,-23.04,5.668,-0.475,-0.218
31.062,-23.152,5.595,-0.466,-0.23
31.006,-23.238,5.553,-0.46,-0.238
30.909,-23.304,5.532,-0.456,-0.245
30.785,-23.357,5.525,-0.453,-0.25
30.641,-23.401,5.525,-0.45,-0.253
30.484,-23.439,5.529,-0.449,-0.256
30.319,-23.474,5.535,-0.447,-0.259
30.148,-23.506,5.541,-0.447,-0.261
29.973,-23.536,5.545,-0.446,-0.262
29.797,-23.566,5.548,-0.446,-0.264
29.622,-23.594,5.548,-0.445,-0.265
29.447,-23.623,5.546,-0.445,-0.265
29.274,-23.651,5.543,-0.445,-0.266
29.104,-23.678,5.536,-0.446,-0.266
28.937,-23.706,5.528,-0.446,-0.267
28.773,-23.732,5.518,-0.446,-0.267
28.613,-23.759,5.507,-0.447,-0.267
28.457,-23.784,5.494,-0.447,-0.267
28.306,-23.81,5.479,-0.447,-0.267
28.159,-23.834,5.463,-0.448,-0.267
28.017,-23.858,5.446,-0.448,-0.266
27.88,-23.881,5.428,-0.449,-0.266
27.748,-23.903,5.41,-0.45,-0.266
27.621,-23.924,5.391,-0.45,-0.265
27.498,-23.944,5.371,-0.451,-0.265
27.381,-23.963,5.351,-0.451,-0.264
27.268,-23.981,5.331,-0.452,-0.264
27.161,-23.998,5.311,-0.452,-0.264
27.058,-24.014,5.29,-0.453,-0.263
26.96,-24.029,5.27,-0.454,-0.263
26.867,-24.043,5.25,-0.454,-0.262
26.778,-24.056,5.23,-0.455,-0.262
26.694,-24.068,5.21,-0.455,-0.261
26.614,-24.078,5.19,-0.456,-0.261
26.538,-24.088,5.171,-0.456,-0.26
26.466,-24.097,5.152,-0.457,-0.26
26.399,-24.105,5.133,-0.457,-0.259
26.335,-24.112,5.115,-0.458,-0.259
26.275,-24.118,5.097,-0.458,-0.258
26.219,-24.123,5.079,-0.459,-0.258
26.166,-24.127,5.063,-0.459,-0.258
26.116,-24.131,5.046,-0.459,-0.257
26.07,-24.133,5.03,-0.46,-0.257
26.026,-24.135,5.015,-0.46,-0.257
-70.0,-70.0,-50.0,-1.571,-1.253
-70.0,-70.0,-50.0,-1.571,-0.839
-21.085,-59.242,13.947,-1.472,1.571
-9.651,-42.345,14.505,-1.249,1.571
1.706,-30.904,13.373,-1.04,1.166
11.485,-25.331,11.907,-0.896,0.799
18.605,-22.725,10.482,-0.791,0.494
23.3,-21.72,9.243,-0.708,0.262
26.263,-21.552,8.235,-0.643,0.097
28.108,-21.759,7.452,-0.591,-0.015
29.25,-22.086,6.867,-0.553,-0.09
29.945,-22.411,6.446,-0.524,-0.141
30.353,-22.688,6.152,-0.502,-0.175
30.571,-22.907,5.954,-0.487,-0.199
30.662,-23.076,5.823,-0.476,-0.216
30.668,-23.203,5.74,-0.467,-0.228
30.614,-23.299,5.69,-0.462,-0.237
30.52,-23.372,5.661,-0.457,-0.244
30.398,-23.43,5.645,-0.454,-0.249
30.257,-23.478,5.638,-0.452,-0.253
30.103,-23.518,5.635,-0.45,-0.255
29.941,-23.553,5.634,-0.449,-0.258
29.774,-23.584,5.633,-0.448,-0.26
29.604,-23.614,5.632,-0.448,-0.261
29.433,-23.642,5.629,-0.447,-0.262
29.262,-23.669,5.624,-0.447,-0.263
29.093,-23.695,5.618,-0.447,-0.264
28.927,-23.721,5.61,-0.447,-0.264
28.763,-23.746,5.6,-0.447,-0.265
28.603,-23.771,5.588,-0.448,-0.265
28.446,-23.795,5.574,-0.448,-0.265
28.294,-23.818,5.56,-0.448,-0.265
28.145,-23.841,5.543,-0.449,-0.265
28.002,-23.863,5.526,-0.449,-0.265
27.863,-23.884,5.508,-0.45,-0.265
27.729,-23.904,5.489,-0.45,-0.264
27.6,-23.924,5.469,-0.451,-0.264
27.475,-23.943,5.449,-0.451,-0.264
27.356,-23.961,5.428,-0.452,-0.263
27.241,-23.978,5.407,-0.452,-0.263
27.132,-23.993,5.386,-0.453,-0.262
27.027,-24.008,5.365,-0.453,-0.262
26.927,-24.022,5.343,-0.454,-0.262
26.832,-24.035,5.322,-0.454,-0.261
26.741,-24.047,5.301,-0.455,-0.261
26.655,-24.058,5.28,-0.455,-0.26
26.573,-24.068,5.259,-0.456,-0.26
26.495,-24.078,5.239,-0.456,-0.259
26.422,-24.086,5.219,-0.457,-0.259
26.353,-24.093,5.199,-0.457,-0.259
26.287,-24.099,5.18,-0.458,-0.258
26.226,-24.105,5.161,-0.458,-0.258
26.168,-24.109,5.142,-0.459,-0.257
26.113,-24.113,5.124,-0.459,-0.257
26.062,-24.116,5.107,-0.459,-0.257
26.014,-24.118,5.09,-0.46,-0.256
-70.0,-70.0,-50.0,-1.571,-1.24
-70.0,-70.0,-50.0,-1.571,-0.833
-21.26,-58.838,14.012,-1.464,1.571
-9.864,-41.981,14.494,-1.242,1.571
1.474,-30.702,13.361,-1.036,1.174
11.267,-25.173,11.918,-0.894,0.81
18.431,-22.577,10.519,-0.791,0.505
23.172,-21.584,9.301,-0.709,0.271
26.171,-21.437,8.307,-0.643,0.104
28.04,-21.67,7.532,-0.592,-0.01
29.197,-22.021,6.95,-0.553,-0.087
29.901,-22.366,6.53,-0.524,-0.138
30.314,-22.66,6.235,-0.503,-0.174
30.535,-22.892,6.034,-0.487,-0.198
30.628,-23.068,5.901,-0.476,-0.215
30.633,-23.201,5.815,-0.468,-0.228
30.579,-23.301,5.762,-0.462,-0.237
30.484,-23.377,5.731,-0.457,-0.243
30.361,-23.436,5.713,-0.454,-0.249
30.219,-23.484,5.703,-0.452,-0.253
30.064,-23.524,5.698,-0.45,-0.256
29.901,-23.559,5.695,-0.449,-0.258
29.732,-23.59,5.692,-0.448,-0.26
29.561,-23.618,5.689,-0.448,-0.261
29.389,-23.645,5.684,-0.447,-0.262
29.217,-23.671,5.677,-0.447,-0.263
29.047,-23.697,5.669,-0.447,-0.264
28.88,-23.721,5.659,-0.447,-0.265
28.715,-23.745,5.647,-0.448,-0.265
28.554,-23.768,5.634,-0.448,-0.265
28.397,-23.791,5.619,-0.448,-0.265
28.244,-23.814,5.602,-0.449,-0.265
28.096,-23.835,5.585,-0.449,-0.265
27.952,-23.856,5.566,-0.449,-0.265
27.812,-23.876,5.547,-0.45,-0.265
27.678,-23.896,5.526,-0.45,-0.265
27.549,-23.914,5.505,-0.451,-0.264
27.424,-23.932,5.484,-0.451,-0.264
27.305,-23.949,5.462,-0.452,-0.263
27.19,-23.965,5.44,-0.452,-0.263
27.081,-23.98,5.418,-0.453,-0.263
26.976,-23.994,5.396,-0.453,-0.262
26.876,-24.007,5.373,-0.454,-0.262
26.781,-24.019,5.351,-0.455,-0.261
26.69,-24.03,5.329,-0.455,-0.261
26.604,-24.041,5.307,-0.456,-0.26
26.523,-24.05,5.286,-0.456,-0.26
26.445,-24.058,5.265,-0.456,-0.26
26.372,-24.066,5.244,-0.457,-0.259
26.303,-24.073,5.223,-0.457,-0.259
26.238,-24.078,5.204,-0.458,-0.258
26.176,-24.083,5.184,-0.458,-0.258
26.119,-24.087,5.165,-0.459,-0.258
26.064,-24.091,5.146,-0.459,-0.257
-70.0,-70.0,-50.0,-1.571,-1.233
-70.0,-70.0,-50.0,-1.571,-0.831
-21.293,-58.562,14.076,-1.46,1.571
-9.913,-41.726,14.511,-1.238,1.571
1.419,-30.55,13.374,-1.034,1.178
11.215,-25.054,11.94,-0.893,0.814
18.394,-22.471,10.552,-0.79,0.509
23.153,-21.489,9.344,-0.709,0.275
26.165,-21.357,8.356,-0.644,0.107
28.042,-21.605,7.584,-0.592,-0.008
29.202,-21.97,7.004,-0.553,-0.085
29.908,-22.328,6.583,-0.524,-0.138
30.321,-22.632,6.286,-0.503,-0.173
30.541,-22.871,6.084,-0.487,-0.198
30.632,-23.053,5.949,-0.476,-0.215
30.635,-23.189,5.862,-0.467,-0.228
30.579,-23.292,5.808,-0.461,-0.237
30.482,-23.369,5.775,-0.457,-0.244
30.357,-23.43,5.755,-0.454,-0.249
30.212,-23.478,5.744,-0.452,-0.253
30.055,-23.518,5.737,-0.45,-0.256
29.889,-23.553,5.732,-0.449,-0.258
29.719,-23.584,5.728,-0.448,-0.26
29.546,-23.613,5.723,-0.448,-0.262
29.372,-23.64,5.717,-0.447,-0.263
29.199,-23.665,5.709,-0.447,-0.264
29.027,-23.69,5.7,-0.447,-0.264
28.858,-23.715,5.688,-0.447,-0.265
28.692,-23.738,5.675,-0.447,-0.265
28.53,-23.761,5.661,-0.448,-0.265
28.372,-23.784,5.645,-0.448,-0.266
28.218,-23.806,5.627,-0.448,-0.266
28.068,-23.827,5.609,-0.449,-0.265
27.923,-23.847,5.589,-0.449,-0.265
27.783,-23.867,5.569,-0.45,-0.265
27.649,-23.886,5.547,-0.45,-0.265
27.519,-23.905,5.526,-0.451,-0.264
27.394,-23.922,5.503,-0.451,-0.264
27.274,-23.939,5.481,-0.452,-0.264
27.159,-23.954,5.458,-0.452,-0.263
27.049,-23.969,5.435,-0.453,-0.263
26.944,-23.983,5.412,-0.453,-0.262
26.844,-23.995,5.389,-0.454,-0.262
26.748,-24.007,5.367,-0.454,-0.262
26.658,-24.018,5.344,-0.455,-0.261
26.571,-24.028,5.322,-0.455,-0.261
26.49,-24.037,5.3,-0.456,-0.26
26.412,-24.046,5.278,-0.456,-0.26
26.339,-24.053,5.257,-0.457,-0.259
26.27,-24.059,5.236,-0.457,-0.259
26.205,-24.065,5.216,-0.458,-0.259
26.143,-24.069,5.196,-0.458,-0.258
-70.0,-70.0,-50.0,-1.571,-1.23
-70.0,-70.0,-50.0,-1.571,-0.832
-21.259,-58.357,14.142,-1.458,1.571
-9.883,-41.528,14.545,-1.235,1.571
1.447,-30.424,13.401,-1.033,1.179
11.242,-24.959,11.969,-0.893,0.816
18.423,-22.39,10.585,-0.79,0.511
23.184,-21.422,9.381,-0.709,0.276
26.197,-21.304,8.395,-0.643,0.108
28.073,-21.566,7.624,-0.592,-0.007
29.231,-21.943,7.044,-0.553,-0.085
29.935,-22.31,6.622,-0.524,-0.137
30.345,-22.621,6.325,-0.503,-0.173
30.562,-22.865,6.122,-0.487,-0.198
30.65,-23.05,5.986,-0.475,-0.215
30.651,-23.189,5.898,-0.467,-0.228
30.592,-23.294,5.842,-0.461,-0.237
30.492,-23.372,5.808,-0.457,-0.244
30.364,-23.433,5.787,-0.454,-0.249
30.218,-23.482,5.775,-0.451,-0.253
30.058,-23.523,5.767,-0.45,-0.256
29.891,-23.558,5.761,-0.449,-0.258
29.718,-23.589,5.755,-0.448,-0.26
29.543,-23.617,5.749,-0.447,-0.262
29.368,-23.644,5.742,-0.447,-0.263
29.193,-23.67,5.734,-0.447,-0.264
29.021,-23.695,5.723,-0.447,-0.264
28.85,-23.719,5.711,-0.447,-0.265
28.683,-23.742,5.697,-0.447,-0.265
28.52,-23.765,5.682,-0.448,-0.265
28.361,-23.787,5.665,-0.448,-0.266
28.206,-23.809,5.646,-0.448,-0.266
28.056,-23.83,5.627,-0.449,-0.265
27.91,-23.85,5.607,-0.449,-0.265
27.77,-23.87,5.586,-0.45,-0.265
27.634,-23.889,5.564,-0.45,-0.265
27.504,-23.907,5.541,-0.451,-0.264
27.378,-23.924,5.518,-0.451,-0.264
27.258,-23.94,5.495,-0.452,-0.264
27.143,-23.955,5.472,-0.452,-0.263
27.033,-23.97,5.449,-0.453,-0.263
26.927,-23.983,5.425,-0.453,-0.262
26.827,-23.996,5.402,-0.454,-0.262
26.731,-24.008,5.379,-0.455,-0.261
26.641,-24.018,5.356,-0.455,-0.261
26.554,-24.028,5.333,-0.456,-0.261
26.473,-24.037,5.311,-0.456,-0.26
26.395,-24.045,5.289,-0.456,-0.26
26.322,-24.052,5.267,-0.457,-0.259
26.253,-24.058,5.246,-0.457,-0.259
26.188,-24.063,5.225,-0.458,-0.258
26.126,-24.068,5.205,-0.458,-0.258
-70.0,-70.0,-50.0,-1.571,-1.227
-70.0,-70.0,-50.0,-1.571,-0.83
-21.306,-58.296,14.145,-1.457,1.571
-9.937,-41.478,14.537,-1.234,1.571
1.389,-30.399,13.394,-1.032,1.18
11.187,-24.938,11.967,-0.892,0.818
18.377,-22.369,10.587,-0.79,0.513
23.148,-21.401,9.387,-0.709,0.278
26.169,-21.285,8.405,-0.644,0.109
28.051,-21.55,7.636,-0.592,-0.006
29.213,-21.93,7.056,-0.553,-0.084
29.92,-22.301,6.635,-0.524,-0.137
30.331,-22.613,6.337,-0.503,-0.173
30.549,-22.86,6.134,-0.487,-0.198
30.638,-23.047,5.997,-0.476,-0.215
30.639,-23.187,5.909,-0.467,-0.228
30.581,-23.291,5.852,-0.461,-0.237
30.481,-23.37,5.818,-0.457,-0.244
30.354,-23.432,5.797,-0.454,-0.249
30.207,-23.481,5.784,-0.452,-0.253
30.047,-23.521,5.775,-0.45,-0.256
29.88,-23.556,5.769,-0.449,-0.259
29.707,-23.587,5.764,-0.448,-0.26
29.533,-23.615,5.757,-0.447,-0.262
29.357,-23.642,5.75,-0.447,-0.263
29.182,-23.667,5.741,-0.447,-0.264
29.01,-23.692,5.73,-0.447,-0.265
28.839,-23.716,5.717,-0.447,-0.265
28.672,-23.739,5.703,-0.447,-0.265
28.509,-23.761,5.688,-0.448,-0.266
28.35,-23.784,5.67,-0.448,-0.266
28.195,-23.805,5.652,-0.448,-0.266
28.045,-23.826,5.632,-0.449,-0.266
27.899,-23.846,5.612,-0.449,-0.265
27.759,-23.865,5.591,-0.45,-0.265
27.623,-23.884,5.569,-0.45,-0.265
27.493,-23.902,5.546,-0.451,-0.265
27.367,-23.919,5.523,-0.451,-0.264
27.247,-23.935,5.5,-0.452,-0.264
27.132,-23.95,5.476,-0.452,-0.263
27.022,-23.965,5.453,-0.453,-0.263
26.917,-23.978,5.429,-0.453,-0.262
26.816,-23.991,5.406,-0.454,-0.262
26.721,-24.002,5.382,-0.454,-0.262
26.63,-24.013,5.359,-0.455,-0.261
26.544,-24.022,5.336,-0.455,-0.261
26.462,-24.031,5.314,-0.456,-0.26
26.385,-24.039,5.292,-0.456,-0.26
26.312,-24.046,5.27,-0.457,-0.259
26.242,-24.052,5.249,-0.457,-0.259
26.177,-24.057,5.228,-0.458,-0.259
26.116,-24.062,5.208,-0.458,-0.258
-70.0,-70.0,-50.0,-1.571,-1.226
-70.0,-70.0,-50.0,-1.571,-0.829
-21.335,-58.261,14.143,-1.456,1.571
-9.971,-41.452,14.529,-1.233,1.571
1.354,-30.385,13.387,-1.032,1.181
11.155,-24.926,11.963,-0.892,0.819
18.35,-22.355,10.587,-0.79,0.514
23.128,-21.385,9.389,-0.709,0.279
26.154,-21.269,8.409,-0.644,0.11
28.04,-21.534,7.641,-0.593,-0.006
29.205,-21.916,7.061,-0.553,-0.084
29.913,-22.288,6.64,-0.524,-0.137
30.326,-22.602,6.343,-0.503,-0.173
30.544,-22.849,6.139,-0.487,-0.198
30.633,-23.037,6.002,-0.476,-0.215
30.635,-23.178,5.913,-0.467,-0.228
30.576,-23.283,5.857,-0.461,-0.237
30.476,-23.362,5.822,-0.457,-0.244
30.348,-23.424,5.801,-0.454,-0.249
30.202,-23.473,5.788,-0.451,-0.253
30.042,-23.514,5.779,-0.45,-0.256
29.874,-23.548,5.773,-0.449,-0.259
29.701,-23.579,5.767,-0.448,-0.261
29.526,-23.608,5.76,-0.447,-0.262
29.351,-23.635,5.753,-0.447,-0.263
29.176,-23.66,5.743,-0.447,-0.264
29.003,-23.685,5.733,-0.447,-0.265
28.832,-23.709,5.72,-0.447,-0.265
28.665,-23.732,5.706,-0.447,-0.266
28.501,-23.754,5.69,-0.448,-0.266
28.342,-23.777,5.672,-0.448,-0.266
28.187,-23.798,5.654,-0.448,-0.266
28.036,-23.819,5.634,-0.449,-0.266
27.891,-23.839,5.614,-0.449,-0.266
27.75,-23.858,5.592,-0.45,-0.265
27.615,-23.877,5.57,-0.45,-0.265
27.484,-23.895,5.547,-0.451,-0.265
27.359,-23.912,5.524,-0.451,-0.264
27.238,-23.928,5.501,-0.452,-0.264
27.123,-23.943,5.477,-0.452,-0.264
27.013,-23.958,5.454,-0.453,-0.263
26.908,-23.971,5.43,-0.453,-0.263
26.807,-23.984,5.406,-0.454,-0.262
26.712,-23.995,5.383,-0.454,-0.262
26.621,-24.006,5.36,-0.455,-0.261
26.535,-24.016,5.337,-0.455,-0.261
26.453,-24.024,5.314,-0.456,-0.26
26.376,-24.032,5.292,-0.456,-0.26
26.302,-24.039,5.271,-0.457,-0.259
26.233,-24.045,5.249,-0.457,-0.259
26.168,-24.051,5.228,-0.458,-0.259
-70.0,-70.0,-50.0,-1.571,-1.225
-70.0,-70.0,-50.0,-1.571,-0.83
-21.291,-58.184,14.176,-1.455,1.571
-9.925,-41.374,14.55,-1.233,1.571
1.402,-30.332,13.405,-1.031,1.181
11.199,-24.886,11.979,-0.892,0.819
18.391,-22.323,10.603,-0.79,0.514
23.165,-21.361,9.405,-0.709,0.279
26.187,-21.251,8.424,-0.644,0.11
28.069,-21.522,7.656,-0.592,-0.006
29.231,-21.908,7.076,-0.553,-0.084
29.936,-22.283,6.654,-0.524,-0.137
30.346,-22.599,6.357,-0.503,-0.173
30.563,-22.848,6.152,-0.487,-0.198
30.65,-23.037,6.016,-0.475,-0.216
30.649,-23.179,5.926,-0.467,-0.228
30.589,-23.284,5.869,-0.461,-0.237
30.488,-23.364,5.834,-0.457,-0.244
30.359,-23.426,5.812,-0.454,-0.249
30.211,-23.475,5.799,-0.451,-0.253
30.05,-23.516,5.79,-0.45,-0.256
29.881,-23.551,5.783,-0.449,-0.259
