,x,y,psi,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
840,651.2844611035752,598.1010266068772,0.6017584747623093,1.323680732859259,-84.12819058320471,0.0,0.199735846557205,0.0,0.0,60.19046518717637,-2.643352600917034,0.7181137582285979
841,802.6100486561681,549.1513119593583,-0.6889335363728234,-66.71458198588451,-80.40000433702667,0.0,-0.28290640822644475,0.0,0.0,29.22613904002531,-0.28159465717330223,-0.5725782529065347
842,755.0526965842804,554.1456079946388,-0.7140804444194481,-25.46212117235476,-54.679848024940284,0.0,-0.15940522057277967,0.0,0.0,27.614003137009966,-0.2579735926617852,-0.5977251609531594
843,654.9421236293081,594.0559706643139,0.7359796541398802,-9.941597353747305,-78.09513565840246,0.0,0.45596675856583213,0.0,0.0,51.9778215903119,-2.733254321351016,0.8523349376061689
844,676.3215414402949,578.3879042782116,0.3296626251226349,6.577231719772467,-53.92065102893021,0.0,0.1979655218600998,0.0,0.0,50.405820157221385,-2.5777504581710717,0.44601790858892354
845,735.6023756441718,575.0206778788214,0.7724895410761103,-57.26735256955899,-7.753166819433627,0.0,-0.23707638110222296,0.0,0.0,39.12433795690414,-2.796212067886006,0.888844824542399
846,612.64410854082,541.3039371370854,-0.046150745486333467,87.8074458318945,-7.7612602741579675,0.0,0.44074040313613533,0.0,0.0,0.2989652635819916,-2.9586531940207528,0.07020453797995517
847,717.0830134660475,557.8843423959407,0.047465470953307665,-18.410543653184885,-27.54182500716562,0.0,-0.18711863131170797,0.0,0.0,42.668749052321644,-2.5307098032095188,0.16382075441959632
848,622.2425535232182,600.6277461247064,-0.365171557687473,98.0307127084078,-38.66983471973826,0.0,0.2345434156321617,0.0,0.0,64.26405340886569,-1.0669405876186133,-0.24881627422118435
849,632.6101249060125,604.0354843349357,-0.20670782947896993,81.25285577776941,-59.11773945427625,0.0,0.41091028738750934,0.0,0.0,69.73576487250013,-1.2183495038829448,-0.09035254601268129
850,668.3510295632808,542.6942468156468,-0.5353067803942219,33.95211527803727,4.7957634307167165,0.0,0.20127489679548233,0.0,0.0,3.8284724413039757,-0.030808642789078244,-0.4189514969279332
851,749.2055462991294,557.6994738954658,-0.48835008654858686,-30.2234865528224,-47.9889255471321,0.0,-0.49841840708042456,0.0,0.0,40.50676830639334,-0.4585738844714848,-0.3719948030822982
852,704.9652716750074,563.0506034468831,0.7381873147829168,-26.250577882601608,-21.475662394582898,0.0,-0.2909085716834927,0.0,0.0,16.812230881889136,-2.8932003429945032,0.8545425982492054
853,719.7971877571272,603.6722245867954,0.33908455144587957,-43.341382480566004,-63.363807555403845,0.0,-0.2684980463950259,0.0,0.0,80.14919042597916,-2.4089836524717647,0.4554398349121682
854,684.3189155291533,555.9935079173424,0.33412548484420634,6.125516443347847,-30.17085382037423,0.0,0.10500596194342521,0.0,0.0,23.78312413355357,-2.818602081719184,0.450480768310495
855,734.129002859273,534.8495424315695,-0.5174144017695121,-27.015481813419562,-21.5306800353408,0.0,-0.046065862513919476,0.0,0.0,5.0621518649734245,-0.04195869037765643,-0.4010591183032235
856,777.8807592343519,526.8046450311548,-0.050270491400770334,-77.91781261107126,-1.2215053144188048,0.0,-0.21069482234490478,0.0,0.0,17.242271555624836,-2.8506850817815046,0.0660847920655183
857,712.7849470630433,596.6183461241834,-0.40392457431780654,14.623444554160871,-66.74190682938186,0.0,-0.008127135495904658,0.0,0.0,70.39887813075106,-1.0550078074832872,-0.2875692908515179
858,778.4307154790481,542.9857475866543,-0.6491667102779396,-54.32451022645209,-58.155740105190375,0.0,-0.32645308875082113,0.0,0.0,19.671783389427546,-0.18490200614977503,-0.532811426811651
859,626.9368416055611,600.5528912712834,-0.6199921241506229,100.74863757601224,-15.37694700377903,0.0,0.44471551068044485,0.0,0.0,66.24937254746928,-0.5907455655618518,-0.5036368406843342
860,768.8999367432284,531.775137592263,-0.13323506386636685,-67.98706734944336,-11.407725781541924,0.0,-0.4752924275671698,0.0,0.0,16.838865599889928,-0.7301419524386936,-0.016879780400078218
861,660.5250320050854,590.1610661345383,0.5767966349838329,0.007460974697750089,-72.37429092648998,0.0,0.010255658154622815,0.0,0.0,53.54456141781945,-2.66310497870313,0.6931519184501216
862,745.9333285550755,585.7754464199179,0.5301089143892876,-68.08347394200153,-25.3266088906186,0.0,-0.13747699023768267,0.0,0.0,60.85805958036526,-2.606228542963274,0.6464641978555763
