Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	94.1305	36.4784	149.818	53.5207	1000.0	35.2971	4.29819	40.0519	-3.57264	120000	1.23978e-08	213.117	-0.0128535	-17.6326	5.07014	0.0192073	0.25575	5.0	122.99915552139282
30	107.694	30.3599	142.506	63.9096	1000.0	33.4172	4.10688	39.7916	0.652196	124000	1.0252e-08	168.44	-0.0155301	-18.6879	4.99751	0.0171443	0.21825	7.0	126.47094011306763
31	88.015	45.1915	138.674	25.9643	1000.0	35.9335	4.82612	41.5918	3.65343	128000	-2.0504e-08	212.347	-0.0115104	-47.7715	5.01607	0.0170223	0.19225	5.0	129.6032235622406
32	126.536	14.6548	151.413	115.109	1000.0	33.297	6.22624	40.3995	-23.4778	132000	-9.41753e-09	149.275	-0.0113355	-29.1842	5.00975	0.0154924	0.22	5.0	134.06554746627808
33	151.905	39.9977	199.111	96.4068	1000.0	33.8242	4.63073	40.9294	-0.707033	136000	2.26498e-08	307.746	-0.049435	-108.402	4.94815	0.00882867	0.21225	79.0	138.76138758659363
34	182.562	44.3752	243.233	118.072	1000.0	38.8076	8.77164	43.6973	-28.2454	140000	-5.72205e-09	157.704	-0.0232477	-24.8349	4.9102	0.0162969	0.211	14.0	141.983638048172
35	188.642	41.9123	245.264	130.21	1000.0	39.8426	5.47777	43.6985	3.73127	144000	-1.35899e-08	203.333	-0.0488146	-16.2213	4.95277	0.0119544	0.2285	79.0	147.12069392204285
36	229.928	39.28	290.508	182.024	1000.0	38.3719	5.70677	45.0063	5.0572	148000	1.92523e-08	283.387	-0.0151103	-43.0907	4.79035	0.0147768	0.16525	6.0	150.27235007286072
37	154.184	54.7565	207.062	69.4105	1000.0	42.0334	8.76617	48.7019	0.980072	152000	2.72989e-08	428.819	-0.0138444	-159.688	4.81237	0.0161277	0.21175	5.0	153.41364979743958
38	238.735	31.5799	275.746	190.245	1000.0	37.613	13.3575	46.9715	-32.1175	156000	2.00272e-08	297.945	-0.015852	-52.8727	4.75958	0.0159983	0.237	9.0	156.62110686302185
39	238.905	94.0118	341.31	103.494	1000.0	42.1807	11.6879	49.3182	-9.0772	160000	-1.41859e-08	287.373	-0.0129516	-64.7093	4.74437	0.0192351	0.26575	6.0	160.83183455467224
40	256.524	19.2189	289.0	240.071	1000.0	43.6205	13.0653	50.3601	-42.1129	164000	-5.72205e-09	217.322	-0.0226133	-73.0558	4.80422	0.0157556	0.234	13.0	165.49626207351685
41	302.493	48.5609	380.632	248.255	1000.0	42.656	4.47851	48.401	4.23311	168000	-1.63317e-08	233.889	-0.0129974	-21.317	4.77804	0.0153923	0.17	6.0	168.65391397476196
42	191.614	73.7236	294.577	114.484	1000.0	43.3281	4.84267	50.1246	3.53527	172000	1.07288e-08	592.561	-0.0125866	-329.742	4.78438	0.0170093	0.1925	5.0	171.80719757080078
43	247.446	38.3125	311.695	213.597	1000.0	36.2119	14.2299	46.8415	-23.2203	176000	-1.35899e-08	258.931	-0.0139999	-38.3291	4.7276	0.0172502	0.235	7.0	174.96666550636292
44	277.466	36.7469	315.658	220.956	1000.0	41.1373	7.45284	48.2621	-5.9646	180000	-1.90735e-09	179.596	-0.00911578	-40.2129	4.70636	0.0166812	0.2065	5.0	178.12033867835999
45	246.137	33.498	300.198	217.596	1000.0	36.994	6.29856	45.9573	-8.07972	184000	-4.14848e-08	195.974	-0.0205609	-21.0355	4.74341	0.016529	0.2175	14.0	182.5962586402893
46	323.447	18.1677	339.873	293.089	1000.0	37.0948	5.2715	46.1005	-0.208379	188000	1.57356e-08	209.672	-0.023077	-31.0111	4.71696	0.0163608	0.23275	17.0	186.7304527759552
47	320.519	9.57959	333.091	310.882	1000.0	40.8187	4.84213	48.0307	-1.04123	192000	9.89437e-09	117.301	-0.0116036	-7.16553	4.6678	0.0178768	0.242	5.0	189.8734736442566
48	305.739	61.6164	376.525	207.759	1000.0	40.2668	4.96646	47.9741	3.82464	196000	4.60148e-08	221.806	-0.0178221	-36.3413	4.69139	0.0160443	0.23625	12.0	193.08142852783203
49	353.953	36.6653	416.49	322.738	1000.0	40.4487	6.95882	47.9397	-9.57006	200000	5.72205e-09	213.538	-0.0458163	-17.6687	4.70736	0.00876333	0.218	79.0	198.38668131828308
