,eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,on_land,d_obs,psi_tilde_obs
0,-8.36499494237075,-13.607825169176994,-0.0355235965430758,0.001169419531300342,0.0032413445197310153,-2.5692175414704366e-05,0.0,5.228119587925233,-0.02315672717121231
1,-8.220544799029817,-13.504854815496705,-0.035015819203304765,0.0028785509069724213,0.0024434486411859524,-0.00010399908282465731,0.0,5.245241143856168,-0.016913288237915935
2,-8.08195279766634,-13.403009081606898,-0.034204660130413345,0.004264980456079925,0.0016889468684020414,-0.00016277411182485935,0.0,5.249835138943958,-0.011043134644197039
3,-7.948388841877665,-13.302516572775716,-0.03331465871902051,0.005311631996307575,0.0009970414939264316,-0.00020424403462548923,0.0,5.242379157560777,-0.005468485195855521
4,-7.819976804592205,-13.204006989283506,-0.032221981915703246,0.006047850665311216,0.00039801458149035795,-0.00022325812265577838,0.0,5.2232194647564825,-0.00013276735117173644
5,-7.696011980343416,-13.107452656899177,-0.03098303804340219,0.006536381987142015,-0.00011700888019383626,-0.00023558566967984973,0.0,5.192707099485407,0.00495271746146031
6,-7.576332342544335,-13.013143035414387,-0.029603007071071552,0.006859434055991542,-0.0005460324710142572,-0.00022890933383656886,0.0,5.151302684457241,0.009789015013545566
7,-7.460951346810956,-12.921484127715932,-0.028278200974648726,0.007054194166253858,-0.0008978037462377131,-0.00021121734805262804,0.0,5.09973026672802,0.014328459538464955
8,-7.348993849320639,-12.831967307070874,-0.026856410421641108,0.007175228615592388,-0.0011917953701168216,-0.00018304625808518438,0.0,5.038299426354702,0.018575632871336012
9,-7.24133280628948,-12.745620394069517,-0.025634930383300336,0.007248901238614991,-0.0014327629648409612,-0.00015975511955623745,0.0,4.968636443408618,0.022407047868059138
10,-7.372956495016227,-12.820579196258093,-0.030041258144665406,0.009180812729824517,-0.0024894319111545826,-0.0004377739687768667,0.0,3.996893708534188,0.04324262589245009
11,-7.266655548170337,-12.716543519828704,-0.028312822979685848,0.008909274407513657,-0.002717186092501933,-0.0004002862274887775,0.0,3.913876099296136,0.04553209207883313
12,-7.163878280190625,-12.615182483780373,-0.02643188163497001,0.00863726967288514,-0.00289469696681266,-0.0003669569202795486,0.0,3.8214891246421097,0.047566356706628454
13,-7.0655203388310674,-12.517423735621989,-0.024736834503925387,0.008409809776731336,-0.0030169773873840455,-0.0003192324076337627,0.0,3.720507065998932,0.049306488160295814
14,-6.9715020136143355,-12.423132406804392,-0.02290411425574046,0.008241456116668822,-0.0030781113394766635,-0.0002792973226206641,0.0,3.611456893179829,0.0506820908719785
15,-6.8833916881294375,-12.33385750531469,-0.021118802628065758,0.008138343657750013,-0.003090803251961205,-0.00023410445849236794,0.0,3.495974289928757,0.05161063685532241
16,-6.800605061220266,-12.248939348256867,-0.01937062375630827,0.008112244317933559,-0.003041099096201094,-0.00019807597881715822,0.0,3.3735663354621144,0.052028778467011705
17,-6.724762782142842,-12.1701144424796,-0.017794222621706268,0.008188157570931054,-0.0029298942344606616,-0.00015435775405947538,0.0,3.2465135002687138,0.05187068773055081
18,-6.655781661852481,-12.097110302727279,-0.016142747648848932,0.008353809829261927,-0.0027590381806668063,-0.00012595296333905992,0.0,3.1146428893313667,0.05106810933552097
19,-6.594781875767879,-12.031067789032027,-0.01453760711949581,0.008635253281532584,-0.0025275543414498003,-8.565133669868885e-05,0.0,2.9791540191046,0.04959459349230677
20,-6.542644754064367,-11.972721587907962,-0.01300535345388365,0.009020742350231536,-0.002246204313491873,-5.544141843749628e-05,0.0,2.8408658050318634,0.04740633852055609
21,-6.500185943371622,-11.922844111764713,-0.011548677689413367,0.009495967201129218,-0.0019255838101877032,-2.9151828254470047e-05,0.0,2.700636855149538,0.04452465977587927
22,-6.468068210032149,-11.882051345920267,-0.010160508084583242,0.010062823225492679,-0.0015492037526438907,-1.4642122412311664e-06,0.0,2.5590697392131894,0.04096673164169218
23,-6.447257067514601,-11.851211780944865,-0.00886865548463156,0.01069478392372325,-0.0011553925610829907,1.6894872963746366e-05,0.0,2.4173082424947294,0.03683713551307832
24,-6.438174611708375,-11.830672195393973,-0.00766628488387866,0.011381557204330761,-0.0007411834946715601,3.170525261531054e-05,0.0,2.2752981520366102,0.03220384288089839
25,-6.441370382935658,-11.820950704170976,-0.006565984324041985,0.012090648706762686,-0.0003261826810412316,3.5669281921002494e-05,0.0,2.134913934171786,0.027264245456741776
26,-6.457250990024071,-11.822262010477253,-0.00561494289636677,0.012814183936238344,9.364425963731549e-05,5.157207760220217e-05,0.0,1.9957444873866734,0.0221467842283829
27,-6.485547877923086,-11.834283014899764,-0.004693413112264899,0.013504185866170637,0.0004884650389289646,6.118541216793005e-05,0.0,1.859047402559593,0.017086124147120074
28,-6.526238111241941,-11.856927925323578,-0.0038660224781175145,0.014133645791945426,0.0008365039396842633,6.160117983711189e-05,0.0,1.725070285700335,0.01222729773664355
29,-6.5785101202933465,-11.88936489513345,-0.0031818568516346346,0.014684709911956695,0.001143959208608436,7.254000874112876e-05,0.0,1.5952724232239284,0.007852443635769646
30,-6.641832766214713,-11.930788693044576,-0.00257300936978222,0.01512859525083865,0.0013897553429735865,7.842690860293544e-05,0.0,1.4698563105398819,0.004061734810044015
31,-6.7147189208359945,-11.979895487116043,-0.0020009162323875174,0.015427962667040163,0.0015651439286248348,8.272683506049816e-05,0.0,1.3502922626058478,0.0010158512614992787
32,-6.79584264721245,-12.035274953884727,-0.0015434299877750135,0.015576814678171402,0.001654827029938133,8.626646937415217e-05,0.0,1.2375023189720853,-0.0011568502641949863
33,-6.883974329602138,-12.095537598844928,-0.0011455796491448567,0.01556603525250111,0.0016658418354502658,9.516408158205536e-05,0.0,1.1320271408336655,-0.0024123933684094823
34,-6.977098019152013,-12.158801047484637,-0.0008127732986658032,0.015387030607154628,0.0015988019290453792,0.00010694878610983949,0.0,1.035255467113446,-0.0027529305741680332
35,-7.073866352086691,-12.22364843189518,-0.0005320361452421096,0.015053209776255017,0.0014528703277925104,0.0001186248719520222,0.0,0.9477388706987959,-0.0022337937499514737
36,-7.172267427795552,-12.288329488499112,-0.0003210221912262057,0.014563944903168036,0.0012420785134565904,0.00013023186666671904,0.0,0.8704533680373938,-0.0009481350396285393
37,-7.271164497350803,-12.35157596865352,-0.00013818060587222902,0.013939365126692138,0.0009684262114024733,0.0001430177101191532,0.0,0.8034276198066568,0.0009360012846215682
38,-7.369618923219883,-12.412349656669598,-1.8983491800739216e-06,0.01320103351531099,0.0006548147130480686,0.0001603121334525781,0.0,0.7464459522238975,0.0033303373078581444
39,-7.46567234232227,-12.469322283574792,9.803476362080232e-05,0.01236164656051919,0.00030994898224534495,0.00016588243671833425,0.0,0.7000063299630614,0.006062436043926311
40,-7.558958555853636,-12.521871489812348,0.0001903166552246205,0.011462709365289925,-4.105818413790985e-05,0.00018028021397853422,0.0,0.6631864699008911,0.00897042041761864
41,-7.648760422640192,-12.569760396503277,0.0002360654138264806,0.010491508207424616,-0.00039427300066563475,0.0001888830440464062,0.0,0.6353913365080572,0.011919714809039306
42,-7.734298322264068,-12.612131757453216,0.00027901202184388296,0.00948612640954316,-0.0007313019017392008,0.00019367376424028748,0.0,0.6155424101962979,0.014796952125291085
43,-7.815376629207247,-12.64930357014337,0.0003072722803860728,0.008475802637835095,-0.0010341461965097665,0.00020523999134169912,0.0,0.6028698406656918,0.017516197210277085
44,-7.8918523449684805,-12.681004326003203,0.000314043497745331,0.007449431258436334,-0.0013120401663542225,0.00020743678494383744,0.0,0.5958189930799556,0.020004399463978473
