,eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,on_land,d_obs,psi_tilde_obs
0,-0.613357289398567,-0.4473241575857513,-0.0009708264187429649,-0.0001949029746388109,7.836758519375042e-05,6.135077832425395e-07,0.0,0.08308770026829793,0.004404406345308143
1,-0.6104290951194349,-0.44567065618258084,-0.0009556842362611895,-0.00016089114782158465,6.9847863281014e-05,7.862637738664802e-07,0.0,0.08342228621789127,0.004340626501703859
2,-0.6076614344159467,-0.4440388199253959,-0.0009344850087630863,-0.0001331947517941301,6.226474884840627e-05,1.2528738503325698e-06,0.0,0.08356010827616145,0.004282577209137051
3,-0.6050284154551717,-0.4424319939153424,-0.0009121793506305376,-0.00011149875935934084,5.598972192744078e-05,1.7861257587403756e-06,0.0,0.0835094088779662,0.004231674140465769
4,-0.6025263382729888,-0.4408618984741709,-0.000885528420933368,-9.547591932057564e-05,5.103097708791804e-05,2.385220193357185e-06,0.0,0.08327837703803476,0.0041845496582280095
5,-0.6001343510513831,-0.4393290934253312,-0.0008551431904374462,-8.389879915932097e-05,4.7349371746663316e-05,3.168564506550453e-06,0.0,0.08287245253212339,0.004143238799730442
6,-0.5978439666519799,-0.43784035017422496,-0.0008216630441147399,-7.546249957890439e-05,4.48225986855455e-05,4.047660191131008e-06,0.0,0.08230076588670054,0.004106552286695875
7,-0.5956511334900202,-0.43640212610095297,-0.00078932885898092,-6.914768601223864e-05,4.3283575785091344e-05,5.015451801759774e-06,0.0,0.08157728910128137,0.004071937200389453
8,-0.5935350728368177,-0.4350078221985393,-0.0007544097434113439,-6.442254117894342e-05,4.285105922252619e-05,6.0126732449594655e-06,0.0,0.08070810201855227,0.004037940945218033
9,-0.5915092146222108,-0.4336728601810631,-0.0007247249004449507,-6.057118000585282e-05,4.30583086481473e-05,6.87003815902365e-06,0.0,0.0797183578793823,0.004005140565086052
10,-0.5907797930096854,-0.4369656956666001,-0.0008316189200512358,9.468055029770994e-06,3.1035221772612864e-05,4.822017673267176e-06,0.0,0.07514544614092422,0.001991128890372007
11,-0.5885804182831729,-0.4350885023171951,-0.0007903340836389328,5.408117070726526e-06,3.082966841827517e-05,5.5683809340179025e-06,0.0,0.07420177859593924,0.0020033978845370726
12,-0.5864236399649246,-0.43324648736679183,-0.0007455885041954824,1.2345519855849751e-06,3.160056465290051e-05,6.539398387350737e-06,0.0,0.0731452084134796,0.0020126700544680354
13,-0.5843187771621061,-0.4314503280822788,-0.0007058335972976448,-2.8320529112946247e-06,3.320532084938321e-05,7.331357342876821e-06,0.0,0.07199031175823045,0.0020200349941242868
14,-0.5822594423194024,-0.4296941241284316,-0.0006628366304035627,-6.470899180377465e-06,3.596007622275188e-05,8.293940542136724e-06,0.0,0.07074395260749067,0.002024835002822689
15,-0.5802694592142904,-0.42799901409390756,-0.0006212083670338875,-9.607856631344003e-06,3.960689467630285e-05,9.154725061688573e-06,0.0,0.06943297673688731,0.002026659720638868
16,-0.5783256342592251,-0.4263461827549676,-0.0005806100956318727,-1.207151830318054e-05,4.428996524907802e-05,9.979191227915685e-06,0.0,0.06805606030767974,0.002024925653229981
17,-0.5764538965537949,-0.4247591324222439,-0.000545080140195553,-1.382116217324425e-05,4.9778698346325534e-05,1.0726778056247e-05,0.0,0.06664603796560864,0.002019151417017362
18,-0.5746408737791127,-0.4232254851941256,-0.0005069660970533074,-1.4589575783041653e-05,5.638967840237985e-05,1.1610732968958537e-05,0.0,0.06520365739603351,0.0020092188117886156
19,-0.5728977128519827,-0.4217558225547441,-0.00047038023144491126,-1.4575192127386227e-05,6.369062417033167e-05,1.2297643863012908e-05,0.0,0.06375077838203802,0.001994829748584337
20,-0.5712286340000846,-0.42035347718507593,-0.0004354359861866719,-1.373548468486252e-05,7.1696742418359e-05,1.2936372822403008e-05,0.0,0.06230242526693264,0.001975909780758567
21,-0.5696381719610327,-0.4190224225754441,-0.00040207940515829543,-1.2248787816360185e-05,8.035668056516343e-05,1.3555426965572437e-05,0.0,0.06087371342455927,0.0019527401126191446
22,-0.5681269465355739,-0.41776358608978315,-0.00037034387762369114,-1.0063439705276789e-05,8.96173080116025e-05,1.4111676280625929e-05,0.0,0.05947544474936395,0.0019255066781673769
23,-0.56670533614701,-0.4165845952087671,-0.00034059592736962463,-7.662121951301781e-06,9.884208229526958e-05,1.4478624063007928e-05,0.0,0.058124872937790784,0.0018947013943472202
24,-0.5653667561354605,-0.41548024469264816,-0.00031238247891390847,-4.624580689782665e-06,0.00010856423374550062,1.4917698956562475e-05,0.0,0.0568247151775213,0.0018610020018013929
25,-0.5641257689566919,-0.41446132496133464,-0.0002860633268656487,-1.6354584608802014e-06,0.00011813988758735405,1.52101399919502e-05,0.0,0.055593963974380545,0.0018251858027075185
26,-0.562975131546067,-0.4135209789208779,-0.0002638492710114182,1.6428778905064334e-06,0.0001277691440846329,1.5423624245669565e-05,0.0,0.05443173794203837,0.001789496174148586
27,-0.5619206088966988,-0.4126610834702293,-0.0002408455265169307,4.620876814631636e-06,0.00013702332671072792,1.55504442735932e-05,0.0,0.05334547781083321,0.0017517634566488471
