Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-496.305	77.2998	-418.702	-577.604	1000.0	-0.0119717	0.685354	1.5912	-1.81179	4000	2.05934e-08	2212.81	-0.0197246	-863.224	5.48748	0.0160444	0.19625	3.0	3.562328815460205
1	-713.503	121.43	-579.293	-857.295	1000.0	-8.70467	4.30517	3.71255	-14.1369	8000	-9.05991e-09	4030.37	-0.0506977	-1388.03	5.46043	0.0160229	0.23575	24.0	8.258888244628906
2	-566.207	89.1381	-454.847	-690.958	1000.0	-21.8286	1.30515	-1.05178	-22.1634	12000	-1.87159e-08	1279.12	-0.0223751	-245.267	5.47535	0.0149731	0.207	8.0	12.294716119766235
3	-491.598	7.47889	-484.338	-501.785	1000.0	-26.7865	0.419004	-17.7133	-26.8582	16000	-4.68493e-08	537.052	-0.0380607	-95.8004	5.45535	0.0153878	0.18875	17.0	17.022030353546143
4	-554.143	115.299	-417.674	-671.293	1000.0	-29.7713	1.47639	9.26564	-29.9976	20000	-3.46899e-08	1069.71	-0.0732721	-136.491	5.43965	0.0147772	0.383	79.0	20.935730457305908
5	-515.104	46.841	-460.82	-563.696	1000.0	-33.6212	0.512642	-21.373	-33.7141	24000	-4.88758e-09	597.931	-0.0516022	-56.8596	5.34363	0.0158706	0.267	26.0	25.831788778305054
6	-475.419	46.441	-419.731	-544.602	1000.0	-36.307	0.276312	-28.9302	-36.3459	28000	-9.65595e-09	252.181	-0.0165709	-20.4346	5.3585	0.0218556	0.267	5.0	30.36953902244568
7	-450.36	91.4021	-383.729	-607.851	1000.0	-37.8578	1.20119	1.60812	-37.9749	32000	-2.96831e-08	281.844	-0.044922	-6.28906	5.36149	0.0164903	0.241	18.0	34.65903949737549
8	-594.315	238.834	-363.883	-948.402	1000.0	-38.7759	0.510384	-22.1425	-38.8342	36000	-6.80685e-08	1284.06	-0.0491156	-78.1512	5.36289	0.0155525	0.2395	24.0	38.885348320007324
9	-418.479	50.0365	-373.258	-502.848	1000.0	-42.0637	0.221515	-36.6401	-42.0924	40000	2.70605e-08	255.299	-0.0173536	-10.1732	5.341	0.0164703	0.2235	6.0	44.42284798622131
10	-401.249	40.4577	-360.207	-456.382	1000.0	-40.8536	2.51626	31.7042	-41.0535	44000	-2.20537e-08	221.125	-0.0192257	-16.2764	5.36311	0.0163127	0.25225	7.0	49.10426902770996
11	-392.254	44.1825	-341.128	-452.413	1000.0	-39.515	0.293365	-30.4494	-39.5439	48000	1.44243e-08	161.475	-0.0546513	-12.8728	5.36987	0.0159463	0.2675	29.0	53.81468915939331
12	-387.155	51.8488	-308.823	-454.295	1000.0	-37.8604	1.68099	16.0603	-38.0419	52000	-1.66893e-09	266.275	-0.0459043	-17.8619	5.24481	0.0152417	0.25525	25.0	57.01375412940979
13	-484.9	61.0431	-421.371	-582.431	1000.0	-36.4521	0.22186	-27.5169	-36.4802	56000	-2.31266e-08	405.461	-0.046124	-14.5672	5.29705	0.0158309	0.26475	20.0	61.45144867897034
