Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-422.704	110.403	-275.056	-558.688	1000.0	-0.0152811	0.517152	1.49726	-1.64732	4000	7.59959e-09	989.409	-0.0622004	-249.222	5.48748	0.0132866	0.24075	79.0	4.541572093963623
1	-329.019	29.8293	-279.978	-360.675	1000.0	2.09014	7.97126	13.1812	-13.4845	8000	1.62125e-08	293.555	-0.0544975	-74.4691	5.46177	0.00927261	0.196	79.0	8.476465702056885
2	-337.465	56.3928	-262.912	-411.888	1000.0	1.59926	7.84059	12.5178	-12.7753	12000	3.93391e-09	563.903	-0.0181956	-44.1178	5.44817	0.0172267	0.2785	8.0	11.68971872329712
3	-284.411	37.6821	-239.318	-322.413	1000.0	7.87471	6.4779	13.7953	-13.6272	16000	-1.14441e-08	192.865	-0.0138108	-74.4539	5.43854	0.0208438	0.2395	6.0	14.911881923675537
4	-278.099	21.3034	-257.187	-312.732	1000.0	9.85483	2.49954	14.7309	-1.26625	20000	3.33786e-09	198.983	-0.0136088	-19.2755	5.44011	0.0222922	0.191	4.0	18.092111110687256
5	-280.374	44.9702	-208.113	-321.481	1000.0	9.14645	4.37614	14.3488	-12.1507	24000	1.26362e-08	234.412	-0.0571035	-13.8649	5.40606	0.00712213	0.226	79.0	21.999860763549805
6	-252.796	26.7293	-231.881	-297.962	1000.0	9.02747	5.56147	14.4489	-12.6516	28000	-1.62125e-08	158.756	-0.0174298	-6.56831	5.37715	0.0182592	0.29125	7.0	25.24918556213379
7	-218.379	28.4529	-192.357	-263.644	1000.0	10.6145	3.42754	14.5837	-12.6751	32000	-1.43051e-08	130.654	-0.013959	-32.1824	5.37868	0.0213352	0.26025	6.0	28.51512312889099
8	-233.378	45.6112	-160.413	-281.313	1000.0	11.6732	2.0965	16.3087	-3.02049	36000	-2.86102e-09	170.044	-0.0147492	-46.878	5.39963	0.0228081	0.30225	6.0	31.773136615753174
9	-194.364	44.6653	-133.187	-257.01	1000.0	11.4628	4.51557	15.2505	-14.7133	40000	2.67029e-08	181.101	-0.015607	-54.0206	5.36028	0.0155753	0.2845	8.0	35.030407667160034
10	-180.548	19.7312	-155.89	-203.047	1000.0	12.5752	2.18385	17.5291	2.06209	44000	2.6226e-09	91.1749	-0.0138954	-4.62206	5.36221	0.0208246	0.28025	6.0	38.5382285118103
11	-146.708	19.2426	-119.347	-171.042	1000.0	13.1925	2.64844	19.2943	0.256287	48000	-4.64916e-09	121.914	-0.0126609	-20.0724	5.35607	0.0188548	0.26725	5.0	41.744993448257446
12	-136.628	31.6956	-94.8257	-172.62	1000.0	17.0368	3.40659	23.3182	3.43811	52000	3.05176e-08	158.737	-0.0125751	-36.1434	5.2625	0.0209832	0.259	5.0	44.95917725563049
13	-132.143	41.9434	-69.308	-180.452	1000.0	20.0643	2.25622	22.4021	-7.07454	56000	-1.09076e-08	180.009	-0.0126243	-10.3813	5.33439	0.0216107	0.27075	5.0	48.16143274307251
14	-68.2561	10.3566	-56.4376	-79.6447	1000.0	19.4772	2.3559	22.3175	-6.1586	60000	-1.94311e-08	128.698	-0.0111768	-44.5937	5.28137	0.0192616	0.23975	5.0	51.374977350234985
15	-61.8047	20.7217	-27.9135	-79.278	1000.0	25.7982	1.56756	27.2966	9.74654	64000	-1.41859e-08	111.361	-0.0120745	-3.99094	5.33465	0.0228692	0.28825	5.0	54.61263561248779
